Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10001	1	100	38	500	0.143583	0.12307	0.0593987	0.0636709	0.0205136	0.879834	0.0607374	1.11448	0.074399
10002	1	100	41	500	0.145433	0.126174	0.0626015	0.063572	0.0192591	0.876881	0.0603901	1.11897	0.0753511
10003	1	100	49	500	0.154172	0.132768	0.0678968	0.0648714	0.0214039	0.871323	0.0612823	1.12545	0.075447
10004	1	100	49	500	0.155211	0.133133	0.0683042	0.0648292	0.0220775	0.87129	0.0568467	1.12509	0.0706523
10005	1	100	48	500	0.15144	0.132791	0.0686259	0.0641649	0.0186491	0.870637	0.0632337	1.12548	0.0786666
10006	1	100	43	500	0.161482	0.139873	0.0730068	0.0668659	0.0216096	0.865012	0.0605319	1.13309	0.0734285
10007	1	100	48	500	0.166662	0.148126	0.0821761	0.0659497	0.0185358	0.856394	0.0626585	1.14321	0.0776505
10008	1	100	45	500	0.169062	0.156292	0.0921134	0.0641786	0.0127699	0.847461	0.0637785	1.15615	0.077515
10009	1	100	44	500	0.176294	0.160892	0.094022	0.0668698	0.0154022	0.844905	0.0618002	1.15895	0.0741833
10010	1	100	40	500	0.178608	0.163279	0.0949835	0.0682958	0.0153283	0.842181	0.0633407	1.16144	0.0751209
10011	1	100	47	500	0.189476	0.172579	0.103989	0.0685896	0.0168972	0.833822	0.0602776	1.16883	0.0748462
10012	1	100	44	500	0.189575	0.173394	0.102983	0.0704114	0.0161815	0.832542	0.0658124	1.16903	0.0837832
10013	1	100	46	500	0.202686	0.183183	0.11493	0.0682525	0.0195037	0.824208	0.0660117	1.18004	0.0834552
10014	1	100	51	500	0.201358	0.182695	0.115512	0.0671824	0.0186635	0.825209	0.063435	1.18017	0.0783435
10015	1	100	38	500	0.197391	0.183571	0.117411	0.0661603	0.0138204	0.823134	0.0673715	1.18435	0.0814684
10016	1	100	41	500	0.203037	0.189455	0.123899	0.0655561	0.0135818	0.817909	0.0622163	1.18931	0.0751043
10017	1	100	50	500	0.213494	0.196859	0.131908	0.0649513	0.0166351	0.812103	0.0641111	1.19602	0.0767203
10018	1	100	46	500	0.220696	0.206879	0.148268	0.0586103	0.013817	0.802618	0.062219	1.20946	0.0754578
10019	1	100	41	500	0.222037	0.207383	0.145605	0.0617777	0.0146544	0.802633	0.0625417	1.20776	0.0753631
10020	1	100	40	500	0.22344	0.208745	0.146161	0.0625841	0.0146947	0.800777	0.0613336	1.20983	0.0752126
10021	1	100	50	500	0.232942	0.214705	0.153323	0.0613815	0.0182377	0.796842	0.0641032	1.21444	0.0775261
10022	1	100	45	500	0.231991	0.218841	0.159771	0.0590704	0.0131495	0.792647	0.0608305	1.22076	0.073278
10023	1	100	46	500	0.233512	0.221006	0.163177	0.0578296	0.0125054	0.790492	0.0618396	1.22348	0.0740596
10024	1	100	48	500	0.243728	0.226218	0.164947	0.0612706	0.0175099	0.786251	0.0664951	1.22603	0.0756419
10025	1	100	49	500	0.257466	0.233783	0.17327	0.0605132	0.0236831	0.779343	0.0641708	1.22926	0.0751745
10026	1	100	47	500	0.261274	0.235779	0.172948	0.0628307	0.0254949	0.777664	0.0681886	1.23073	0.0843377
10027	1	100	53	500	0.271025	0.241886	0.178096	0.0637903	0.0291386	0.773789	0.0641997	1.23612	0.0773948
10028	1	100	43	500	0.265363	0.241798	0.182886	0.058912	0.0235651	0.772362	0.062887	1.23782	0.0757594
10029	1	100	51	500	0.264073	0.244162	0.186981	0.0571803	0.0199111	0.769917	0.0659134	1.24196	0.0761356
10030	1	100	55	500	0.274613	0.251731	0.192157	0.0595736	0.0228823	0.764587	0.0645905	1.24898	0.075539
10031	1	100	50	500	0.278255	0.255193	0.197011	0.0581814	0.0230622	0.760595	0.065247	1.25076	0.0781599
10032	1	100	52	500	0.291283	0.263858	0.20337	0.0604873	0.0274248	0.754732	0.0673746	1.25846	0.0773776
10033	1	100	39	500	0.291764	0.271193	0.213259	0.0579337	0.0205717	0.746368	0.0710438	1.26702	0.07908
10034	1	100	57	500	0.298282	0.271801	0.211755	0.060046	0.0264813	0.748346	0.0673202	1.26694	0.0774305
10035	1	100	56	500	0.299361	0.276441	0.221046	0.0553955	0.02292	0.743891	0.0642405	1.27344	0.0736143
10036	1	100	48	500	0.308058	0.283253	0.230552	0.0527012	0.0248052	0.738117	0.0626637	1.27922	0.0676516
10037	1	100	47	500	0.31135	0.284302	0.231978	0.0523244	0.0270479	0.736321	0.0646557	1.27837	0.0697837
10038	1	100	48	500	0.311952	0.285425	0.231762	0.053663	0.0265267	0.736716	0.0638349	1.28019	0.0692224
10039	1	100	50	500	0.316783	0.292043	0.242221	0.0498223	0.0247395	0.730665	0.0642734	1.28717	0.0670655
10040	1	100	45	500	0.319151	0.293842	0.243786	0.0500554	0.0253091	0.729011	0.0621451	1.28832	0.0677151
10041	1	100	55	500	0.325936	0.301576	0.25025	0.0513262	0.02436	0.724037	0.0627076	1.29605	0.0678044
10042	1	100	49	500	0.332744	0.305968	0.255307	0.0506606	0.0267758	0.720937	0.0623022	1.29874	0.0645842
10043	1	100	41	500	0.33796	0.31069	0.2601	0.0505906	0.0272697	0.715751	0.0687128	1.29897	0.063033
10044	1	100	44	500	0.342777	0.313809	0.26251	0.0512988	0.0289676	0.71469	0.0645689	1.30307	0.0658673
10045	1	100	50	500	0.34929	0.318018	0.265893	0.0521246	0.031272	0.710318	0.0696634	1.30223	0.0629655
10046	1	100	44	500	0.35282	0.319987	0.265814	0.0541722	0.0328337	0.710193	0.067486	1.30451	0.0633523
10047	1	100	44	500	0.350214	0.319226	0.264858	0.0543683	0.0309885	0.710765	0.0652771	1.30531	0.0661
10048	1	100	43	500	0.347585	0.319651	0.266822	0.0528294	0.027934	0.708762	0.0720489	1.30326	0.0631776
10049	1	100	46	500	0.359732	0.328343	0.272686	0.0556566	0.0313884	0.7039	0.0677023	1.31146	0.0625596
10050	1	100	42	500	0.36269	0.329976	0.2748	0.0551768	0.0327131	0.701333	0.0738218	1.30847	0.0625406
10051	1	100	46	500	0.363736	0.334992	0.279182	0.0558095	0.0287437	0.698547	0.0691641	1.31726	0.0623226
10052	1	100	44	500	0.373912	0.341086	0.283348	0.0577385	0.0328256	0.69437	0.0717294	1.31857	0.0615319
10053	1	100	44	500	0.371683	0.339839	0.282051	0.0577879	0.0318439	0.694186	0.0725268	1.31681	0.0637381
10054	1	100	48	500	0.367697	0.336925	0.279595	0.0573299	0.0307715	0.696291	0.074187	1.31642	0.0670421
10055	1	100	45	500	0.375685	0.347239	0.2869	0.0603396	0.0284463	0.68887	0.0752139	1.32039	0.0662826
10056	1	100	48	500	0.381391	0.348014	0.287849	0.0601655	0.0333768	0.690182	0.0731416	1.32231	0.0680193
10057	1	100	41	500	0.381965	0.349735	0.289669	0.0600661	0.0322297	0.688216	0.0749456	1.32219	0.0659181
10058	1	100	42	500	0.389083	0.357941	0.297434	0.0605061	0.0311423	0.68215	0.0753598	1.32807	0.0719756
10059	1	100	43	500	0.397948	0.366104	0.303983	0.0621211	0.031844	0.677526	0.0748628	1.33362	0.0668076
10060	1	100	42	500	0.398799	0.366547	0.305037	0.0615104	0.0322515	0.676525	0.0759757	1.33185	0.0651744
10061	1	100	45	500	0.40943	0.375406	0.312349	0.0630568	0.0340234	0.670343	0.0789861	1.33223	0.0631053
10062	1	100	49	500	0.420567	0.388108	0.324911	0.0631967	0.0324595	0.662081	0.0800186	1.33938	0.0586909
10063	1	100	45	500	0.426028	0.395211	0.332417	0.0627941	0.0308176	0.656481	0.0817639	1.34116	0.0602043
10064	1	100	44	500	0.422244	0.392379	0.329535	0.0628446	0.0298649	0.658835	0.0809637	1.34193	0.0589654
10065	1	100	48	500	0.422324	0.391995	0.328762	0.0632329	0.0303295	0.659868	0.0799736	1.34432	0.05915
10066	1	100	42	500	0.431478	0.397202	0.333438	0.0637641	0.0342764	0.65625	0.0817362	1.34397	0.0602399
10067	1	100	44	500	0.436256	0.405469	0.34295	0.0625189	0.0307862	0.649396	0.0816697	1.34741	0.0563865
10068	1	100	47	500	0.434517	0.402902	0.340679	0.0622224	0.0316154	0.649204	0.0859447	1.34189	0.0610389
10069	1	100	44	500	0.366197	0.332595	0.269656	0.0629391	0.0336013	0.701413	0.0832896	1.26771	0.0555391
10070	1	100	47	500	0.362854	0.330995	0.268504	0.0624912	0.0318589	0.701376	0.0851969	1.26624	0.0572597
10071	1	100	47	500	0.362827	0.329206	0.266143	0.0630631	0.0336211	0.702423	0.0860113	1.26591	0.058967
10072	1	100	47	500	0.180797	0.148758	0.0863606	0.0623972	0.0320391	0.857442	0.106649	1.06795	0.0444356
10073	1	100	50	500	0.190146	0.158257	0.0958802	0.0623763	0.0318898	0.84898	0.108885	1.06974	0.0454371
10074	1	100	45	500	0.187973	0.157436	0.0960489	0.0613871	0.0305372	0.850112	0.104266	1.07428	0.0474398
10075	1	100	40	500	0.192465	0.16202	0.10072	0.0613	0.0304452	0.84464	0.107672	1.07322	0.0460245
10076	1	100	38	500	0.20138	0.171118	0.111238	0.0598803	0.0302623	0.836718	0.106316	1.07492	0.0463041
10077	1	100	40	500	0.197517	0.166948	0.106422	0.0605254	0.0305693	0.841049	0.104747	1.07489	0.0476336
10078	1	100	45	500	0.202916	0.170118	0.108831	0.061287	0.0327984	0.837275	0.110259	1.07248	0.0473575
10079	1	100	42	500	0.203686	0.171594	0.110841	0.0607532	0.032092	0.836302	0.106047	1.07853	0.048678
10080	1	100	49	500	0.204755	0.172738	0.110972	0.0617664	0.0320171	0.834901	0.105163	1.07712	0.0438724
10081	1	100	48	500	0.219978	0.186161	0.127073	0.0590879	0.0338168	0.821486	0.108856	1.08025	0.0511117
10082	1	100	46	500	0.216086	0.179801	0.118863	0.0609384	0.0362852	0.829097	0.105084	1.08379	0.0530173
10083	1	100	50	500	0.216169	0.182185	0.121101	0.0610842	0.0339831	0.825217	0.106925	1.08488	0.0555157
10084	1	100	40	500	0.214076	0.177254	0.114937	0.062317	0.036822	0.829684	0.105096	1.08524	0.0575937
10085	1	100	43	500	0.216269	0.180349	0.118662	0.0616868	0.03592	0.827064	0.104473	1.08848	0.0596705
10086	1	100	46	500	0.21822	0.181652	0.119428	0.0622241	0.0365682	0.826737	0.10198	1.08913	0.0578003
10087	1	100	52	500	0.227922	0.193127	0.134466	0.0586611	0.0347958	0.814688	0.101813	1.09275	0.0577462
10088	1	100	50	500	0.226462	0.195327	0.138131	0.0571953	0.0311352	0.814215	0.101136	1.09706	0.0598555
10089	1	100	45	500	0.223365	0.191381	0.133925	0.0574563	0.0319838	0.816455	0.0983804	1.09832	0.0631537
10090	1	100	49	500	0.227155	0.195423	0.139835	0.0555879	0.0317316	0.812788	0.100277	1.1016	0.0621751
10091	1	100	42	500	0.222287	0.193028	0.137993	0.0550345	0.029259	0.814983	0.0980377	1.09925	0.0582026
10092	1	100	48	500	0.223558	0.192452	0.135715	0.0567365	0.0311067	0.815686	0.098523	1.10183	0.0611664
10093	1	100	42	500	0.226148	0.195171	0.139773	0.0553981	0.030977	0.815241	0.0949108	1.10593	0.0626194
10094	1	100	42	500	0.22831	0.196124	0.140452	0.0556725	0.0321854	0.810066	0.100754	1.10283	0.0638969
10095	1	100	40	500	0.230852	0.199374	0.147163	0.0522108	0.0314778	0.806946	0.09627	1.10823	0.0628553
10096	1	100	42	500	0.227656	0.196131	0.143526	0.0526056	0.0315245	0.810271	0.0913594	1.11334	0.0646398
10097	1	100	42	500	0.23534	0.20173	0.148435	0.0532954	0.0336096	0.805018	0.0929357	1.11413	0.0652236
10098	1	100	43	500	0.23596	0.202798	0.150277	0.0525209	0.0331622	0.803931	0.0896991	1.11895	0.0632647
10099	1	100	46	500	0.242424	0.206132	0.153221	0.0529115	0.0362917	0.802939	0.088496	1.12246	0.0671495
10100	1	100	42	500	0.242873	0.207919	0.15361	0.0543093	0.034954	0.80046	0.0904569	1.1247	0.0675137
10101	1	100	41	500	0.24618	0.211163	0.158499	0.0526646	0.0350169	0.798302	0.0872498	1.12888	0.0669558
