Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	61	500	0.190313	0.178041	0.0951422	0.0828993	0.0122715	0.830252	0.0722175	1.17778	0.0858346	4.54381e-05
10002	1	100	57	500	0.203896	0.191142	0.113829	0.0773128	0.0127549	0.817955	0.0745869	1.19192	0.0895632	4.28813e-05
10003	1	100	54	500	0.201723	0.188149	0.111305	0.0768438	0.0135744	0.820678	0.0757617	1.18719	0.0900478	4.34811e-05
10004	1	100	59	500	0.209218	0.196178	0.123561	0.072617	0.0130398	0.813197	0.0752205	1.19591	0.0880576	4.14208e-05
10005	1	100	54	500	0.215044	0.202439	0.132387	0.0700519	0.0126059	0.807486	0.0720378	1.20301	0.0850319	4.01438e-05
10006	1	100	44	500	0.22134	0.210298	0.143334	0.0669644	0.0110415	0.800584	0.068799	1.21348	0.0817454	3.89588e-05
10007	1	100	57	500	0.2293	0.21761	0.152005	0.0656048	0.01169	0.793628	0.0656652	1.22033	0.0788941	3.78124e-05
10008	1	100	51	500	0.237496	0.227182	0.169466	0.0577161	0.0103145	0.784203	0.0609232	1.23169	0.0734352	3.47875e-05
10009	1	100	40	500	0.245018	0.235746	0.188225	0.0475209	0.00927217	0.776572	0.0564437	1.24107	0.0683605	3.2157e-05
10010	1	100	57	500	0.245258	0.233452	0.187264	0.046188	0.0118053	0.776944	0.0599162	1.23728	0.0740091	3.31585e-05
10011	1	100	57	500	0.252976	0.238086	0.193358	0.044728	0.0148899	0.773845	0.0576158	1.23936	0.0728594	3.23795e-05
10012	1	100	51	500	0.258227	0.241394	0.19755	0.0438438	0.0168333	0.771618	0.0544232	1.24286	0.0688142	3.15819e-05
10013	1	100	48	500	0.257751	0.244327	0.204282	0.0400443	0.0134241	0.767867	0.048727	1.24862	0.0616379	3.0474e-05
10014	1	100	46	500	0.253149	0.242298	0.203082	0.0392158	0.0108514	0.769859	0.0521774	1.24745	0.0628729	3.12791e-05
10015	1	100	45	500	0.25934	0.245138	0.209543	0.035595	0.0142021	0.76752	0.0528445	1.24913	0.062289	2.97643e-05
10016	1	100	42	500	0.270094	0.25478	0.224423	0.0303568	0.0153138	0.758781	0.0442937	1.25777	0.0552042	2.90415e-05
10017	1	100	50	500	0.275222	0.260041	0.232967	0.0270744	0.0151807	0.754291	0.0438039	1.26208	0.0510531	2.73337e-05
10018	1	100	41	500	0.275911	0.2627	0.238667	0.0240328	0.0132105	0.751491	0.0377218	1.26648	0.0436515	2.61644e-05
10019	1	100	45	500	0.280335	0.265764	0.243921	0.0218429	0.0145708	0.748271	0.0375199	1.26971	0.0429325	2.55863e-05
