Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10001	1	100	43	500	0.160542	0.147095	0.104188	0.0429064	0.0134478	0.855305	0.0502124	1.13271	0.0627432
10002	1	100	27	500	0.163049	0.139815	0.0952287	0.0445863	0.0232338	0.8642	0.0427497	1.1214	0.0584681
10003	1	100	20	500	0.176203	0.147681	0.102027	0.0456539	0.0285225	0.857374	0.0433262	1.1248	0.0594535
10004	1	100	18	500	0.181315	0.146826	0.105961	0.0408651	0.0344887	0.85152	0.0693618	1.11227	0.0917676
10005	1	100	19	500	0.181262	0.150067	0.109582	0.0404854	0.0311943	0.853319	0.0362069	1.12073	0.0489873
10006	1	100	16	500	0.197768	0.154178	0.109559	0.0446185	0.04359	0.852929	0.0351737	1.11864	0.0482947
10007	1	100	14	500	0.192084	0.15647	0.108236	0.0482341	0.0356138	0.848786	0.0398446	1.12656	0.0538026
10008	1	100	17	500	0.196594	0.155801	0.100474	0.0553268	0.0407932	0.851193	0.0374047	1.12564	0.0543571
10009	1	100	17	500	0.168799	0.145873	0.0853047	0.0605684	0.0229262	0.858852	0.0324302	1.12812	0.0472157
10010	1	100	14	500	0.166154	0.149258	0.0810353	0.0682225	0.0168964	0.85644	0.0364057	1.13484	0.0494721
10011	1	100	14	500	0.161353	0.148008	0.0896975	0.0583109	0.0133451	0.853667	0.0369851	1.13209	0.0531731
10012	1	100	14	500	0.158548	0.148805	0.0807873	0.0680177	0.00974272	0.856421	0.0375652	1.13958	0.0497207
10013	1	100	13	500	0.160777	0.150239	0.0782081	0.0720313	0.0105378	0.854757	0.0420527	1.13887	0.0555909
10014	1	100	13	500	0.156605	0.147863	0.0721553	0.0757072	0.00874268	0.858094	0.046551	1.14191	0.0567965
10015	1	100	14	500	0.15614	0.144759	0.0686089	0.0761503	0.0113807	0.861591	0.037121	1.13479	0.050321
10016	1	100	16	500	0.156462	0.143868	0.0768471	0.0670205	0.0125941	0.862159	0.0344333	1.13139	0.0428883
10017	1	100	13	500	0.153943	0.139729	0.0738639	0.0658648	0.0142142	0.864179	0.0282393	1.12361	0.0400542
10018	1	100	11	500	0.144102	0.13522	0.0788447	0.0563756	0.0088818	0.868293	0.0212918	1.12526	0.0236942
10019	1	100	14	500	0.150854	0.13722	0.0853402	0.0518802	0.0136333	0.866444	0.0193233	1.12389	0.0261348
10020	1	100	11	500	0.143517	0.136124	0.0829271	0.0531971	0.00739281	0.866303	0.0230374	1.12616	0.0311474
10021	1	100	12	500	0.144403	0.135408	0.0816608	0.053747	0.00899497	0.868675	0.0187393	1.12598	0.0217105
10022	1	100	15	500	0.153051	0.141842	0.0832399	0.0586022	0.0112088	0.862382	0.0292076	1.13032	0.0364147
10023	1	100	15	500	0.140587	0.135075	0.0854302	0.0496445	0.0055121	0.868296	0.0149171	1.12886	0.018979
10024	1	100	14	500	0.145322	0.137003	0.0888055	0.0481975	0.00831897	0.866766	0.0139014	1.12819	0.0186342
10025	1	100	13	500	0.145802	0.137279	0.0778117	0.0594674	0.00852289	0.865833	0.0194343	1.12797	0.0249915
10026	1	100	13	500	0.139109	0.132415	0.0759159	0.0564989	0.00669438	0.869615	0.0155384	1.12369	0.0193382
10027	1	100	11	500	0.132915	0.12759	0.0718579	0.0557323	0.00532496	0.875366	0.011972	1.12069	0.0122535
10028	1	100	11	500	0.133549	0.12895	0.0780255	0.0509243	0.00459885	0.873939	0.00851245	1.12241	0.0100353
10029	1	100	13	500	0.13233	0.129143	0.0779966	0.0511461	0.0031874	0.873008	0.00946323	1.12323	0.0110353
10030	1	100	11	500	0.130412	0.128171	0.0742752	0.0538954	0.0022413	0.874576	0.00839727	1.12338	0.00913927
10031	1	100	12	500	0.130128	0.1281	0.0744205	0.0536796	0.00202835	0.875081	0.00881092	1.12355	0.00989138
10032	1	100	12	500	0.133569	0.13004	0.0768191	0.053221	0.00352937	0.873052	0.00592089	1.12461	0.00638052
10033	1	100	14	500	0.134624	0.129811	0.0687937	0.061017	0.00481293	0.873052	0.00779534	1.12388	0.00978242
10034	1	100	11	500	0.137243	0.13044	0.0692349	0.0612049	0.0068036	0.873037	0.00780363	1.1243	0.00709847
10035	1	100	12	500	0.136815	0.130579	0.0693577	0.0612218	0.00623559	0.872312	0.00651616	1.12399	0.0069082
10036	1	100	16	500	0.143281	0.132161	0.0676986	0.064462	0.0111203	0.872214	0.00746246	1.1239	0.00939664
10037	1	100	16	500	0.148115	0.13367	0.0691259	0.0645441	0.0144453	0.871209	0.00789386	1.12277	0.00990367
10038	1	100	20	500	0.153148	0.135455	0.0701964	0.0652587	0.0176932	0.868196	0.0220829	1.11976	0.0289407
10039	1	100	14	500	0.16742	0.140678	0.0711997	0.0694781	0.0267423	0.864352	0.0318131	1.11358	0.0414911
10040	1	100	13	500	0.1647	0.139435	0.0711174	0.0683174	0.0252653	0.867181	0.0203642	1.1168	0.0266528
10041	1	100	12	500	0.181452	0.147028	0.0758128	0.0712155	0.0344238	0.863011	0.0299781	1.11025	0.0391347
10042	1	100	12	500	0.177081	0.144697	0.0769282	0.0677693	0.0323837	0.863042	0.0374557	1.10953	0.0484603
10043	1	100	15	500	0.158435	0.136427	0.0692497	0.0671774	0.0220084	0.867887	0.0275167	1.1161	0.0356782
10044	1	100	13	500	0.155918	0.135548	0.0689173	0.0666306	0.02037	0.870662	0.00845513	1.11966	0.0110514
10045	1	100	12	500	0.15842	0.136674	0.0684961	0.0681783	0.0217459	0.869246	0.0224977	1.11836	0.0292848
10046	1	100	12	500	0.157492	0.135706	0.0674159	0.0682905	0.0217855	0.870634	0.0153982	1.11774	0.0187137
10047	1	100	15	500	0.159603	0.13613	0.0681739	0.0679566	0.0234721	0.866784	0.0338437	1.11169	0.0426253
10048	1	100	14	500	0.165787	0.139195	0.0717125	0.0674822	0.0265925	0.870014	0.0111088	1.11758	0.0138277
10049	1	100	13	500	0.15147	0.133699	0.0668365	0.0668622	0.017771	0.86934	0.0249707	1.11656	0.0316376
10050	1	100	15	500	0.152776	0.134546	0.0681649	0.0663813	0.0182303	0.8701	0.0103857	1.11885	0.0125756
10051	1	100	18	500	0.161699	0.138248	0.0699768	0.0682715	0.0234502	0.865487	0.0305447	1.11594	0.0400894
10052	1	100	20	500	0.16179	0.137623	0.0699626	0.0676604	0.0241675	0.86639	0.02538	1.11552	0.034041
10053	1	100	16	500	0.158342	0.136427	0.0690798	0.0673476	0.0219147	0.867301	0.0257241	1.11626	0.0334167
10054	1	100	16	500	0.161858	0.137277	0.0721499	0.0651267	0.0245819	0.868952	0.0102813	1.11855	0.0130509
10055	1	100	16	500	0.15697	0.136091	0.0717767	0.0643144	0.0208793	0.868902	0.0086719	1.11965	0.0117063
10056	1	100	15	500	0.165532	0.139997	0.0724442	0.067553	0.0255351	0.864049	0.0270727	1.11546	0.0354867
10057	1	100	21	500	0.195939	0.147017	0.0724809	0.0745362	0.0489215	0.859709	0.0360133	1.10956	0.0474755
10058	1	100	14	500	0.183818	0.144375	0.075497	0.0688784	0.0394429	0.858768	0.0379881	1.11152	0.0480107
10059	1	100	15	500	0.170415	0.140124	0.0727649	0.0673587	0.0302917	0.864985	0.0273505	1.11853	0.0356769
10060	1	100	11	500	0.148964	0.13793	0.0773076	0.0606226	0.0110343	0.867051	0.0123117	1.12687	0.0138208
10061	1	100	15	500	0.152474	0.13568	0.0702991	0.0653808	0.0167943	0.869053	0.0128093	1.12214	0.0156256
10062	1	100	13	500	0.15553	0.136829	0.0713543	0.0654746	0.0187015	0.868639	0.010526	1.12167	0.0127574
10063	1	100	14	500	0.156906	0.137423	0.0723034	0.0651199	0.0194829	0.867504	0.0150045	1.12065	0.018385
10064	1	100	14	500	0.158835	0.13741	0.0727945	0.0646153	0.0214257	0.866403	0.0199312	1.11628	0.0259638
10065	1	100	15	500	0.16334	0.139494	0.0774321	0.0620622	0.0238456	0.865602	0.0190764	1.11779	0.02393
10066	1	100	12	500	0.156377	0.136769	0.0714222	0.0653472	0.0196079	0.868353	0.0153995	1.1191	0.018937
10067	1	100	13	500	0.162846	0.13907	0.0748973	0.0641725	0.0237761	0.866648	0.0157312	1.11786	0.0202594
10068	1	100	12	500	0.153071	0.137387	0.0748284	0.0625582	0.0156846	0.867543	0.00987579	1.12283	0.012226
10069	1	100	11	500	0.14392	0.134976	0.0721665	0.0628099	0.00894394	0.868561	0.0123862	1.12478	0.0141404
10070	1	100	13	500	0.137404	0.131733	0.0689298	0.0628032	0.00567096	0.872199	0.0078705	1.12545	0.00821364
10071	1	100	13	500	0.136869	0.131622	0.0680542	0.0635673	0.00524783	0.871981	0.00953494	1.12531	0.0113877
10072	1	100	13	500	0.138976	0.131656	0.0684895	0.0631663	0.00732031	0.871869	0.0123301	1.12342	0.0148732
10073	1	100	13	500	0.142648	0.133144	0.0698465	0.0632979	0.00950369	0.869568	0.0167385	1.12084	0.0200345
10074	1	100	12	500	0.140812	0.133589	0.0773443	0.056245	0.00722251	0.870602	0.0138263	1.1258	0.0162739
10075	1	100	13	500	0.138561	0.133307	0.0795339	0.053773	0.00525425	0.87029	0.0175806	1.12644	0.0191848
10076	1	100	12	500	0.146164	0.138834	0.09061	0.0482238	0.0073299	0.865117	0.0150618	1.12945	0.0165515
10077	1	100	13	500	0.148747	0.138993	0.0963053	0.0426875	0.00975453	0.862598	0.0196961	1.12354	0.0256829
10078	1	100	16	500	0.144741	0.135143	0.0912492	0.0438937	0.00959836	0.868637	0.0179574	1.12284	0.0199361
10079	1	100	16	500	0.148785	0.14026	0.10319	0.0370706	0.00852498	0.862928	0.0189643	1.12714	0.0234159
