Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	43	500	0.497903	0.462086	0.432265	0.0298219	0.0358168	0.581727	0.0420991	1.47495	0.0722749	1.61059e-05
10002	1	100	26	500	0.480923	0.455818	0.425492	0.0303261	0.0251054	0.586834	0.0415137	1.47528	0.0675736	1.52387e-05
10003	1	100	20	500	0.469698	0.450024	0.417308	0.0327161	0.019674	0.590232	0.0377932	1.47064	0.063642	1.57834e-05
10004	1	100	18	500	0.46341	0.444232	0.405916	0.0383162	0.0191784	0.595856	0.0449053	1.46562	0.0744879	1.6119e-05
10005	1	100	17	500	0.465997	0.445524	0.407383	0.0381404	0.0204731	0.595352	0.0445118	1.46651	0.0733872	1.67084e-05
10006	1	100	17	500	0.460082	0.435691	0.386177	0.0495133	0.0243917	0.606504	0.059831	1.45422	0.1028	1.77066e-05
10007	1	100	13	500	0.462531	0.44533	0.408376	0.036954	0.0172008	0.594879	0.0462873	1.46835	0.0900618	1.71263e-05
10008	1	100	15	500	0.466733	0.442699	0.400709	0.04199	0.0240342	0.597436	0.049002	1.46131	0.0850565	1.70234e-05
10009	1	100	18	500	0.465948	0.435981	0.385082	0.0508984	0.0299668	0.603269	0.0527621	1.45013	0.0898064	1.67591e-05
10010	1	100	17	500	0.461632	0.426545	0.36368	0.0628653	0.0350868	0.612633	0.0598068	1.42867	0.119867	1.83925e-05
10011	1	100	20	500	0.472959	0.436018	0.381687	0.0543305	0.0369419	0.604992	0.0582446	1.44479	0.110343	1.51529e-05
10012	1	100	18	500	0.466362	0.436501	0.386189	0.0503127	0.0298608	0.604005	0.0569008	1.4516	0.0969144	1.60879e-05
10013	1	100	19	500	0.48043	0.446794	0.404644	0.0421499	0.0336354	0.594492	0.0464314	1.4614	0.0880492	1.60029e-05
10014	1	100	18	500	0.504021	0.452767	0.405741	0.0470263	0.0512542	0.590246	0.0534962	1.44737	0.0987506	1.46435e-05
10015	1	100	18	500	0.485106	0.442844	0.390702	0.0521419	0.0422622	0.599459	0.0611397	1.44204	0.102681	1.51253e-05
10016	1	100	19	500	0.478712	0.428131	0.357589	0.0705422	0.0505809	0.608321	0.0745149	1.40459	0.16196	1.6451e-05
10017	1	100	18	500	0.472053	0.42899	0.364514	0.064476	0.0430632	0.610028	0.0670671	1.4254	0.141774	1.64682e-05
10018	1	100	22	500	0.469447	0.421972	0.34856	0.0734119	0.0474751	0.611907	0.0683987	1.40285	0.169951	1.7542e-05
10019	1	100	17	500	0.513037	0.450114	0.384916	0.0651983	0.0629225	0.596269	0.078439	1.40488	0.148873	1.49831e-05
10020	1	100	18	500	0.495078	0.441123	0.377269	0.0638533	0.0539552	0.605756	0.0723365	1.42374	0.124593	1.48256e-05
10021	1	100	14	500	0.499551	0.447493	0.388978	0.0585154	0.0520585	0.601285	0.0679177	1.43297	0.10525	1.49574e-05
10022	1	100	20	500	0.489131	0.439686	0.377477	0.062209	0.0494444	0.606709	0.0650539	1.4336	0.104989	1.67105e-05
10023	1	100	20	500	0.493336	0.451289	0.404726	0.0465628	0.0420474	0.592278	0.0519981	1.44799	0.0901692	1.58017e-05
10024	1	100	18	500	0.465646	0.439499	0.395895	0.0436039	0.0261472	0.598661	0.0449785	1.45491	0.073314	1.57333e-05
10025	1	100	15	500	0.487307	0.454631	0.417374	0.0372567	0.0326764	0.586597	0.0493944	1.4589	0.0944654	1.36613e-05
10026	1	100	16	500	0.47517	0.445415	0.402603	0.0428126	0.0297544	0.595431	0.0544663	1.4585	0.0956862	1.44593e-05
10027	1	100	15	500	0.460815	0.428526	0.370623	0.0579029	0.032289	0.611759	0.0737437	1.44007	0.119187	1.63856e-05
10028	1	100	14	500	0.489005	0.446853	0.396449	0.0504041	0.0421519	0.597978	0.0728867	1.44459	0.123061	1.43687e-05
10029	1	100	13	500	0.464339	0.42405	0.357186	0.0668645	0.0402884	0.618931	0.0776856	1.4277	0.12849	1.65782e-05
10030	1	100	17	500	0.470599	0.442656	0.398511	0.0441444	0.027943	0.59816	0.0621735	1.45882	0.116989	1.48505e-05
10031	1	100	16	500	0.468614	0.446282	0.408558	0.0377233	0.0223325	0.595198	0.0550304	1.46921	0.0899306	1.47097e-05
10032	1	100	13	500	0.467633	0.453771	0.427229	0.0265423	0.013862	0.588122	0.0461293	1.48436	0.0776466	1.2695e-05
10033	1	100	15	500	0.462825	0.448064	0.416105	0.0319585	0.0147607	0.592531	0.0476821	1.47731	0.0808581	1.42021e-05
10034	1	100	14	500	0.467393	0.458321	0.438549	0.0197724	0.00907182	0.583262	0.032171	1.49258	0.061013	1.26563e-05
10035	1	100	8	500	0.128437	0.121414	0.10398	0.0174344	0.00702313	0.878999	0.0289957	1.11721	0.0276512	1.2919e-05
10036	1	100	9	500	0.122633	0.119497	0.102395	0.017102	0.00313552	0.880379	0.0281314	1.11733	0.0295251	1.35894e-05
10037	1	100	7	500	0.131231	0.12402	0.108752	0.0152685	0.00721062	0.876263	0.0299431	1.11949	0.0287399	1.27213e-05
10038	1	100	11	500	0.129347	0.120809	0.102115	0.0186939	0.00853877	0.879685	0.0317172	1.11584	0.0306058	1.40599e-05
10039	1	100	12	500	0.135477	0.127994	0.116304	0.0116897	0.00748284	0.872363	0.0228273	1.12361	0.0242466	1.20935e-05
10040	1	100	10	500	0.130463	0.124908	0.111316	0.0135919	0.00555436	0.875283	0.0274423	1.12156	0.0263583	1.2806e-05
10041	1	100	11	500	0.134421	0.129083	0.119503	0.0095795	0.00533816	0.871144	0.0220261	1.12586	0.0214239	1.13407e-05
