Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	45	500	0.763017	0.751892	0.594126	0.157766	0.0111251	0.445271	0.0527267	1.844	0.186117	2.58395e-05
10002	1	100	31	500	0.742594	0.733361	0.586043	0.147318	0.00923246	0.454942	0.0512432	1.81389	0.178607	2.58323e-05
10003	1	100	21	500	0.24592	0.237765	0.101807	0.135958	0.00815523	0.782359	0.0859451	1.25383	0.121998	2.51545e-05
10004	1	100	20	500	0.240668	0.234981	0.111694	0.123286	0.00568707	0.785068	0.0882916	1.25258	0.125793	2.36643e-05
10005	1	100	20	500	0.242344	0.232876	0.0875802	0.145296	0.00946772	0.785695	0.0819528	1.24613	0.11601	2.62193e-05
10006	1	100	19	500	0.230952	0.221353	0.0836034	0.13775	0.00959952	0.796884	0.092358	1.23439	0.129095	2.52192e-05
10007	1	100	16	500	0.222684	0.218332	0.0792273	0.139105	0.00435177	0.799823	0.0955279	1.23503	0.131692	2.57228e-05
10008	1	100	14	500	0.219795	0.215228	0.0720282	0.1432	0.00456698	0.801582	0.0957758	1.23011	0.128339	2.71502e-05
10009	1	100	15	500	0.221602	0.214887	0.0717689	0.143118	0.00671522	0.802453	0.0962347	1.22872	0.129346	2.80593e-05
10010	1	100	15	500	0.220706	0.214591	0.0648316	0.149759	0.00611527	0.802101	0.103018	1.22715	0.136212	2.69426e-05
10011	1	100	17	500	0.210163	0.204465	0.0558206	0.148644	0.00569805	0.813014	0.118442	1.21957	0.159359	2.69605e-05
10012	1	100	23	500	0.234392	0.222082	0.0644474	0.157635	0.0123098	0.797409	0.105921	1.23509	0.145057	2.6763e-05
10013	1	100	13	500	0.229373	0.223987	0.0717224	0.152264	0.00538609	0.794527	0.110075	1.23844	0.143155	2.72417e-05
10014	1	100	15	500	0.202319	0.198479	0.0629484	0.135531	0.00384048	0.816536	0.109332	1.21366	0.143624	2.64188e-05
10015	1	100	12	500	0.199648	0.194257	0.0537039	0.140553	0.00539186	0.820505	0.0981327	1.20607	0.12853	2.69804e-05
