Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10001	1	100	45	500	0.541945	0.533268	0.403994	0.129274	0.00867659	0.552437	0.0314863	1.62306	0.0779891
10002	1	100	30	500	0.299323	0.277282	0.150884	0.126398	0.022041	0.744266	0.0391664	1.28259	0.0601541
10003	1	100	24	500	0.299557	0.283994	0.1663	0.117694	0.0155628	0.739177	0.0355467	1.29485	0.0468466
10004	1	100	21	500	0.319572	0.294866	0.171537	0.123329	0.0247061	0.73143	0.0364631	1.29875	0.0469186
10005	1	100	18	500	0.335885	0.30607	0.186784	0.119286	0.029815	0.724732	0.0330045	1.30732	0.040662
10006	1	100	21	500	0.335445	0.304871	0.182818	0.122053	0.0305745	0.724095	0.0426917	1.30202	0.0598364
10007	1	100	22	500	0.333468	0.304017	0.17544	0.128577	0.0294505	0.724937	0.0333402	1.30455	0.0423506
10008	1	100	23	500	0.335107	0.30598	0.181906	0.124074	0.0291271	0.725133	0.0349043	1.30934	0.0399423
10009	1	100	18	500	0.324221	0.295092	0.165936	0.129155	0.0291294	0.729315	0.0568245	1.28641	0.0756691
10010	1	100	21	500	0.332634	0.300408	0.158407	0.142001	0.0322256	0.729175	0.0427676	1.29858	0.0509854
10011	1	100	24	500	0.325085	0.292191	0.145716	0.146475	0.032894	0.737067	0.0380074	1.29182	0.0521582
10012	1	100	24	500	0.319878	0.288501	0.14524	0.143261	0.0313768	0.737891	0.0395759	1.28677	0.0494947
10013	1	100	23	500	0.304137	0.284852	0.141083	0.143769	0.0192849	0.739922	0.0346721	1.29313	0.0463739
10014	1	100	21	500	0.305505	0.289709	0.145217	0.144493	0.0157953	0.732605	0.0455556	1.29575	0.062272
10015	1	100	19	500	0.29155	0.277767	0.136568	0.141199	0.0137831	0.744851	0.0378183	1.28861	0.0515023
10016	1	100	19	500	0.301971	0.284312	0.141979	0.142333	0.0176596	0.74096	0.0368757	1.29421	0.0492433
10017	1	100	20	500	0.295156	0.282354	0.141048	0.141306	0.0128019	0.740562	0.0382497	1.29336	0.0479875
10018	1	100	20	500	0.286285	0.276026	0.146023	0.130003	0.0102585	0.744773	0.041085	1.28609	0.0523193
10019	1	100	19	500	0.297622	0.288484	0.153177	0.135307	0.00913809	0.73534	0.0301577	1.30356	0.043751
10020	1	100	16	500	0.284372	0.280297	0.140504	0.139793	0.00407542	0.742235	0.0346021	1.29802	0.0485635
10021	1	100	16	500	0.283647	0.280073	0.139832	0.140241	0.00357387	0.743431	0.0309428	1.29957	0.0466048
10022	1	100	18	500	0.291995	0.288415	0.152417	0.135999	0.00357989	0.735815	0.0293539	1.30902	0.0416728
10023	1	100	18	500	0.292698	0.289585	0.152035	0.13755	0.00311388	0.734772	0.0305535	1.31141	0.0432628
10024	1	100	15	500	0.296746	0.293714	0.148436	0.145278	0.00303268	0.731396	0.0314632	1.31545	0.0435607
10025	1	100	20	500	0.292829	0.289174	0.15075	0.138423	0.0036554	0.73578	0.0263708	1.31131	0.0377248
10026	1	100	18	500	0.29964	0.295622	0.149156	0.146466	0.00401747	0.731452	0.0262368	1.31881	0.036642
10027	1	100	17	500	0.295487	0.291381	0.146685	0.144696	0.00410538	0.733502	0.0292282	1.31185	0.0410894
10028	1	100	18	500	0.298462	0.293427	0.146803	0.146624	0.00503504	0.732501	0.0284562	1.31415	0.039639
10029	1	100	18	500	0.295476	0.289933	0.144999	0.144934	0.00554308	0.73437	0.0280281	1.3082	0.0451243
10030	1	100	20	500	0.289919	0.285297	0.138	0.147298	0.00462189	0.739161	0.0287112	1.30351	0.0432874
10031	1	100	20	500	0.294991	0.289042	0.143796	0.145246	0.00594969	0.735789	0.028041	1.30627	0.0418404
10032	1	100	20	500	0.296139	0.290013	0.144425	0.145588	0.00612591	0.733487	0.0247402	1.30509	0.038975
10033	1	100	22	500	0.295476	0.286928	0.145673	0.141255	0.00854742	0.73647	0.0275907	1.29903	0.0422115
10034	1	100	18	500	0.298077	0.290277	0.147392	0.142885	0.00779993	0.734101	0.0288245	1.30415	0.0500732
10035	1	100	18	500	0.305112	0.296414	0.148531	0.147884	0.00869811	0.728755	0.0256522	1.31122	0.0378759
10036	1	100	17	500	0.305132	0.296591	0.148151	0.14844	0.00854114	0.729298	0.0199186	1.31343	0.0362078
10037	1	100	17	500	0.301935	0.295683	0.15359	0.142094	0.00625149	0.730019	0.0209887	1.31553	0.030186
10038	1	100	16	500	0.299887	0.294551	0.146937	0.147614	0.00533558	0.730669	0.0213787	1.31297	0.0321356
10039	1	100	17	500	0.294537	0.290677	0.146174	0.144503	0.00386073	0.73409	0.02249	1.31049	0.0352601
10040	1	100	16	500	0.287918	0.283625	0.138035	0.14559	0.00429326	0.739304	0.0242592	1.30003	0.0375685
