Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	42	500	0.14534	0.122598	0.106859	0.0157389	0.0227417	0.879162	0.02795	1.08191	0.0267189	3.10632e-05
10002	1	100	35	500	0.159254	0.122952	0.0970151	0.0259372	0.0363014	0.88339	0.0297781	1.08161	0.0301216	3.41566e-05
10003	1	100	30	500	0.164939	0.125232	0.0958521	0.0293799	0.0397071	0.881502	0.0296201	1.08258	0.0330381	3.46583e-05
10004	1	100	28	500	0.185686	0.13337	0.0940309	0.0393392	0.0523154	0.876603	0.0333045	1.08257	0.0490398	3.49756e-05
10005	1	100	28	500	0.189725	0.134878	0.0986362	0.0362419	0.0548474	0.875992	0.0265012	1.07949	0.0437611	3.40759e-05
10006	1	100	22	500	0.187565	0.129909	0.0899621	0.0399469	0.0576561	0.882091	0.0300512	1.07261	0.0425388	3.48785e-05
10007	1	100	24	500	0.192668	0.131351	0.0904021	0.040949	0.0613167	0.881908	0.0303199	1.07241	0.0450345	3.56484e-05
10008	1	100	22	500	0.204058	0.138581	0.0910395	0.047542	0.0654769	0.877027	0.0339236	1.076	0.0498346	3.59678e-05
10009	1	100	23	500	0.198909	0.132835	0.0900004	0.0428344	0.0660747	0.882709	0.0283038	1.06878	0.0469106	3.5574e-05
10010	1	100	21	500	0.180117	0.12482	0.0868219	0.0379983	0.0552972	0.887493	0.0266579	1.07	0.0425239	3.57372e-05
10011	1	100	18	500	0.17529	0.123716	0.0934512	0.0302651	0.0515741	0.885141	0.0207421	1.07144	0.0370356	3.40081e-05
10012	1	100	22	500	0.176978	0.12311	0.0858687	0.0372411	0.0538685	0.890203	0.023382	1.06738	0.0419203	3.6566e-05
10013	1	100	21	500	0.173192	0.12027	0.0831172	0.037153	0.0529222	0.892815	0.023901	1.06549	0.037529	3.73704e-05
10014	1	100	21	500	0.188725	0.127911	0.0892618	0.0386495	0.0608134	0.887587	0.0219861	1.06538	0.0441018	3.64726e-05
10015	1	100	21	500	0.194007	0.126064	0.0851789	0.0408852	0.0679432	0.888123	0.029087	1.06239	0.0417396	3.64127e-05
10016	1	100	19	500	0.187989	0.129168	0.0895467	0.0396211	0.0588215	0.8846	0.0274261	1.07101	0.0469335	3.69273e-05
10017	1	100	20	500	0.178645	0.129803	0.0878773	0.041926	0.0488415	0.881498	0.0349156	1.08311	0.0545267	3.7357e-05
10018	1	100	20	500	0.165015	0.127453	0.0963737	0.0310794	0.0375624	0.880556	0.0305838	1.08626	0.0443986	3.51261e-05
10019	1	100	23	500	0.156176	0.131731	0.111228	0.0205029	0.0244451	0.87494	0.0275695	1.09508	0.0370803	3.2515e-05
10020	1	100	21	500	0.160756	0.138935	0.113785	0.0251503	0.021821	0.868353	0.0321187	1.10628	0.0452753	3.32461e-05
10021	1	100	22	500	0.15643	0.133356	0.106005	0.0273508	0.0230737	0.87351	0.0349264	1.10148	0.0451379	3.46298e-05
10022	1	100	22	500	0.158911	0.140659	0.107439	0.0332191	0.0182528	0.867096	0.0399309	1.1156	0.0535432	3.5285e-05
10023	1	100	15	500	0.153838	0.141371	0.113828	0.0275434	0.0124669	0.865408	0.0361184	1.11775	0.0503733	3.30653e-05
10024	1	100	13	500	0.151015	0.139304	0.112221	0.0270826	0.0117112	0.867457	0.035875	1.11632	0.0498151	3.13452e-05
10025	1	100	14	500	0.153034	0.144002	0.117908	0.0260943	0.00903176	0.863091	0.0349769	1.12242	0.0497151	3.17112e-05
10026	1	100	12	500	0.167945	0.156634	0.122269	0.0343648	0.0113118	0.852997	0.0385837	1.13705	0.0548997	3.29152e-05
10027	1	100	16	500	0.16962	0.157909	0.122406	0.035503	0.0117107	0.851627	0.0392952	1.13808	0.0560858	3.31718e-05
10028	1	100	11	500	0.161941	0.15149	0.120013	0.0314773	0.0104509	0.856748	0.037927	1.13076	0.0537712	3.32895e-05
10029	1	100	12	500	0.153455	0.144655	0.118694	0.0259604	0.00880051	0.861965	0.035373	1.12241	0.0500329	3.01719e-05
10030	1	100	14	500	0.156971	0.146964	0.11864	0.0283237	0.0100071	0.860764	0.0361675	1.12571	0.051493	3.02737e-05
10031	1	100	11	500	0.162562	0.154307	0.125208	0.0290991	0.00825485	0.854307	0.0350899	1.13435	0.0516269	2.93247e-05
10032	1	100	14	500	0.164608	0.154284	0.12165	0.032634	0.0103242	0.85467	0.0378036	1.1343	0.0543035	2.95214e-05
10033	1	100	15	500	0.162747	0.151411	0.118127	0.0332838	0.0113366	0.857201	0.0383859	1.1312	0.0537957	3.11972e-05
10034	1	100	18	500	0.154606	0.144329	0.115066	0.0292635	0.0102762	0.863061	0.0365649	1.12285	0.0510472	3.24994e-05
10035	1	100	17	500	0.163191	0.151568	0.117467	0.0341003	0.0116231	0.85736	0.0396222	1.13133	0.0556476	3.27293e-05
10036	1	100	17	500	0.150203	0.136424	0.108138	0.0282857	0.0137789	0.870245	0.0368995	1.11243	0.0502381	3.31623e-05
10037	1	100	14	500	0.152503	0.144836	0.12099	0.023846	0.00766711	0.862025	0.0330921	1.12318	0.0479246	3.16853e-05
10038	1	100	17	500	0.164808	0.15422	0.124651	0.0295682	0.0105886	0.854342	0.0348482	1.13328	0.0522427	3.04365e-05
10039	1	100	13	500	0.0571363	0.0453071	0.0167017	0.0286054	0.0118292	0.956717	0.037945	1.01866	0.0459832	2.98314e-05
10040	1	100	11	500	0.0581392	0.0473608	0.0174643	0.0298965	0.0107784	0.954877	0.0384401	1.02183	0.0469701	2.67127e-05
10041	1	100	10	500	0.0542868	0.0456284	0.0170341	0.0285943	0.00865834	0.956632	0.038627	1.02103	0.0456581	2.66e-05
10042	1	100	9	500	0.0553615	0.0466592	0.017382	0.0292771	0.00870234	0.955405	0.038721	1.02196	0.0466021	2.4398e-05
10043	1	100	10	500	0.0789205	0.053636	0.0187391	0.0348968	0.0252845	0.948921	0.0460239	1.01998	0.0531138	2.46876e-05
10044	1	100	9	500	0.0523646	0.0443856	0.01663	0.0277556	0.00797904	0.957169	0.0420932	1.0193	0.045745	2.47716e-05
10045	1	100	8	500	0.048947	0.0415147	0.0157413	0.0257734	0.00743229	0.960038	0.0373251	1.01686	0.0444503	2.51305e-05
10046	1	100	8	500	0.059895	0.0493315	0.0181225	0.031209	0.0105635	0.953124	0.0395722	1.02401	0.0461557	2.91161e-05
10047	1	100	11	500	0.0596056	0.046685	0.016889	0.029796	0.0129206	0.955197	0.0402287	1.01946	0.0456148	2.87063e-05
10048	1	100	11	500	0.0594102	0.0471339	0.0172676	0.0298664	0.0122763	0.954797	0.0413695	1.02016	0.0471815	2.93604e-05
10049	1	100	10	500	0.0493574	0.0383284	0.0147094	0.023619	0.0110289	0.963063	0.0358751	1.01108	0.0427746	2.70604e-05
10050	1	100	11	500	0.0436218	0.0330963	0.0137156	0.0193807	0.0105254	0.967826	0.0329795	1.00509	0.0392629	2.55986e-05
10051	1	100	10	500	0.0604915	0.0476534	0.0174742	0.0301792	0.0128381	0.954548	0.0381798	1.02066	0.0471082	2.868e-05
10052	1	100	8	500	0.0593075	0.0465505	0.0170422	0.0295084	0.012757	0.954928	0.041773	1.01875	0.0464833	3.0654e-05
10053	1	100	10	500	0.0558154	0.037849	0.0146666	0.0231823	0.0179665	0.957582	0.0490939	0.999705	0.0588985	2.97237e-05
10054	1	100	11	500	0.0686971	0.0398173	0.0162629	0.0235544	0.0288798	0.963284	0.0323501	0.999375	0.0412948	2.99415e-05
10055	1	100	12	500	0.0653879	0.0384804	0.0162578	0.0222226	0.0269075	0.956815	0.0573007	0.990855	0.0656195	3.05441e-05
10056	1	100	11	500	0.0700541	0.0393971	0.017366	0.022031	0.030657	0.959776	0.0485662	0.99103	0.0565483	3.05509e-05
10057	1	100	14	500	0.0611286	0.0346386	0.0157748	0.0188638	0.02649	0.967658	0.0293243	0.993821	0.0387276	2.95275e-05
10058	1	100	12	500	0.0508087	0.0309492	0.0145708	0.0163784	0.0198595	0.970609	0.0284625	0.994816	0.0343905	2.82045e-05
10059	1	100	13	500	0.0452318	0.0307377	0.0136901	0.0170477	0.0144941	0.967684	0.0419454	0.996561	0.0466299	2.79857e-05
10060	1	100	12	500	0.0431317	0.0265552	0.0137585	0.0127966	0.0165765	0.973844	0.0251431	0.992005	0.0314095	2.62666e-05
10061	1	100	15	500	0.0502174	0.0284418	0.0136917	0.0147501	0.0217756	0.972275	0.0264043	0.991807	0.0336775	2.58631e-05
10062	1	100	12	500	0.0452082	0.0264755	0.0140998	0.0123757	0.0187327	0.974498	0.0245436	0.99061	0.0288982	2.5077e-05
10063	1	100	11	500	0.0456496	0.0257649	0.0147104	0.0110545	0.0198847	0.975406	0.0214169	0.987942	0.0276372	2.50688e-05
10064	1	100	14	500	0.0447308	0.023441	0.0158424	0.00759865	0.0212898	0.975617	0.0328602	0.980385	0.0349463	2.38229e-05
10065	1	100	13	500	0.0346692	0.019542	0.0145418	0.00500025	0.0151272	0.981083	0.0125817	0.983518	0.0144899	2.16166e-05
10066	1	100	8	500	0.0334528	0.00917778	0.00310903	0.00606874	0.024275	0.992356	0.0148107	0.992481	0.0148747	2.07486e-05
10067	1	100	8	500	0.0241321	0.00613177	0.00163167	0.00450009	0.0180004	0.994927	0.00977515	0.994927	0.00977515	2.08474e-05
10068	1	100	7	500	0.0113283	0.00256484	0.000373976	0.00219087	0.00876346	0.997541	0.00745988	0.997588	0.00739687	1.73469e-05
10069	1	100	8	500	0.0216677	0.00484348	0.00062794	0.00421554	0.0168243	0.995507	0.0116796	0.995526	0.0116869	1.8613e-05
10070	1	100	8	500	0.0219748	0.00530426	0.00113663	0.00416763	0.0166705	0.995475	0.0101928	0.995475	0.0101928	1.99401e-05
10071	1	100	7	500	0.0178621	0.00425942	0.000858761	0.00340066	0.0136027	0.994784	0.0226954	0.994818	0.0226624	2.19286e-05
10072	1	100	10	500	0.0210815	0.00509394	0.00109706	0.00399688	0.0159875	0.995321	0.00888098	0.99556	0.00895241	2.14321e-05
10073	1	100	8	500	0.0223092	0.00539423	0.00116549	0.00422874	0.0169149	0.995193	0.0110372	0.995409	0.011129	2.14979e-05
10074	1	100	8	500	0.0185986	0.00462624	0.00113315	0.00349309	0.0139724	0.995625	0.00776011	0.995625	0.00776012	2.14901e-05
10075	1	100	7	500	0.023828	0.00685558	0.00261246	0.00424311	0.0169725	0.991793	0.0233539	0.991793	0.0233539	1.79387e-05
10076	1	100	8	500	0.0274762	0.00715083	0.00195754	0.00519328	0.0203253	0.994144	0.00938237	0.994421	0.00953478	1.94211e-05
10077	1	100	11	500	0.0270334	0.00748843	0.00260219	0.00488624	0.019545	0.99181	0.0198778	0.992059	0.0199427	2.08898e-05
10078	1	100	11	500	0.0184955	0.00488006	0.00147619	0.00340387	0.0136155	0.99551	0.00865247	0.99551	0.00865247	2.40553e-05
10079	1	100	10	500	0.0212691	0.00648254	0.0027859	0.00369664	0.0147866	0.992001	0.0214474	0.992001	0.0214474	2.04724e-05
10080	1	100	9	500	0.0267933	0.0089681	0.00451179	0.00445631	0.0178252	0.990033	0.0258188	0.990033	0.0258188	1.98484e-05
10081	1	100	9	500	0.0206545	0.00595967	0.00228595	0.00367372	0.0146949	0.9937	0.0186849	0.993768	0.0186713	2.07645e-05
10082	1	100	5	500	0.0223227	0.00634975	0.00235652	0.00399323	0.0159729	0.99542	0.00603084	0.99542	0.00603084	1.82634e-05
10083	1	100	6	500	0.0193904	0.00526281	0.00173093	0.00353189	0.0141275	0.995972	0.00545866	0.996121	0.00556574	2.36026e-05
10084	1	100	7	500	0.0147272	0.00413147	0.00138608	0.00274539	0.0105957	0.996259	0.00881812	0.996455	0.00889121	2.5163e-05
10085	1	100	9	500	0.0119786	0.00327943	0.00104399	0.00223544	0.00869913	0.996671	0.010175	0.996826	0.0101401	2.47332e-05
10086	1	100	4	500	0.0117325	0.00333311	0.00123325	0.00209986	0.00839943	0.996449	0.0110353	0.996449	0.0110353	2.5755e-05
