Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	54	500	0.222034	0.201759	0.166647	0.035112	0.0202745	0.808374	0.0335869	1.1867	0.0365962
5002	1	100	31	500	0.207813	0.191417	0.151074	0.0403426	0.0163965	0.819922	0.0313593	1.18819	0.0404916
5003	1	100	22	500	0.0762035	0.0675465	0.0284566	0.0390899	0.00865697	0.934476	0.0284812	1.06215	0.0293837
5004	1	100	21	500	0.0822029	0.0739971	0.032926	0.0410711	0.00820578	0.928504	0.0307465	1.06845	0.0321194
5005	1	100	20	500	0.0827386	0.0744608	0.0374757	0.036985	0.00827787	0.927455	0.0280737	1.06963	0.0286894
5006	1	100	22	500	0.0818687	0.0740094	0.0460959	0.0279135	0.00785922	0.927612	0.0230905	1.06839	0.0232358
5007	1	100	22	500	0.0869097	0.0779286	0.045779	0.0321495	0.00898118	0.924158	0.0250355	1.07209	0.0254394
5008	1	100	21	500	0.0784294	0.0702439	0.0493833	0.0208606	0.00818549	0.931613	0.0196279	1.06469	0.0194151
5009	1	100	22	500	0.0822992	0.0721022	0.0510163	0.0210859	0.010197	0.930375	0.0196546	1.06449	0.020987
5010	1	100	19	500	0.0841879	0.0743398	0.0484872	0.0258526	0.00984815	0.927142	0.0221463	1.06787	0.0230196
5011	1	100	19	500	0.0870288	0.0771789	0.0488022	0.0283767	0.00984994	0.92535	0.0234409	1.06958	0.0233792
5012	1	100	17	500	0.0897502	0.0808413	0.0460607	0.0347806	0.00890891	0.921911	0.0261275	1.07392	0.0270067
5013	1	100	19	500	0.09436	0.0829972	0.045799	0.0371983	0.0113627	0.919928	0.0262833	1.07556	0.0281748
5014	1	100	20	500	0.0950034	0.0845735	0.0457761	0.0387974	0.0104299	0.918633	0.0269136	1.07733	0.0283961
