Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	64	500	0.409944	0.375628	0.310712	0.0649156	0.0343164	0.658334	0.0496185	1.30723	0.0603859	4.3139e-05
10002	1	100	44	500	0.16252	0.120904	0.0583675	0.0625369	0.0416155	0.883159	0.0565389	1.0359	0.0419525	4.18649e-05
10003	1	100	42	500	0.180556	0.118853	0.0507443	0.0681084	0.0617037	0.888253	0.0611696	1.02212	0.0409945	4.20633e-05
10004	1	100	38	500	0.169944	0.114107	0.0499678	0.0641388	0.0558375	0.891695	0.0561493	1.01663	0.0424201	4.19102e-05
10005	1	100	33	500	0.158469	0.105029	0.04507	0.059959	0.0534398	0.899563	0.0567046	1.01054	0.0413393	4.22253e-05
10006	1	100	32	500	0.148862	0.0934805	0.0383383	0.0551421	0.055382	0.913018	0.0542134	1.00572	0.0379296	4.24319e-05
10007	1	100	22	500	0.123191	0.091752	0.0421665	0.0495855	0.0314394	0.911952	0.0534751	1.00737	0.042972	4.02151e-05
10008	1	100	28	500	0.124336	0.0901301	0.0428374	0.0472927	0.0342057	0.911986	0.0537648	0.998523	0.0371075	3.91626e-05
10009	1	100	24	500	0.134804	0.0987301	0.0483022	0.0504279	0.0360737	0.904963	0.0431927	1.0009	0.0423807	3.77549e-05
10010	1	100	31	500	0.139233	0.0990464	0.0452562	0.0537902	0.0401865	0.905724	0.055207	1.00817	0.0437978	3.97179e-05
10011	1	100	23	500	0.137982	0.0976307	0.0462058	0.0514249	0.0403511	0.908399	0.0473408	1.00367	0.0411146	3.88144e-05
10012	1	100	23	500	0.125367	0.096371	0.0495835	0.0467875	0.0289959	0.908153	0.0499434	0.999642	0.0381477	3.57447e-05
10013	1	100	23	500	0.118776	0.0954501	0.051324	0.0441261	0.0233263	0.908792	0.0504466	0.997568	0.0382335	3.39878e-05
10014	1	100	20	500	0.125929	0.0854986	0.0415387	0.0439599	0.0404304	0.91999	0.042146	0.996321	0.0360815	3.85032e-05
10015	1	100	24	500	0.102071	0.0776926	0.0420729	0.0356198	0.024378	0.923523	0.0406491	0.989145	0.0368533	3.48001e-05
10016	1	100	22	500	0.0987259	0.073985	0.0411735	0.0328116	0.0247409	0.929271	0.0380408	0.989248	0.0341405	3.58099e-05
10017	1	100	18	500	0.0961554	0.0690083	0.0400549	0.0289534	0.0271472	0.931762	0.034843	0.982396	0.03554	3.41656e-05
10018	1	100	19	500	0.0879173	0.0691157	0.0421525	0.0269632	0.0188016	0.93269	0.0352589	0.983043	0.0304661	3.24513e-05
10019	1	100	17	500	0.0973424	0.0736893	0.0405111	0.0331782	0.0236531	0.925305	0.0408253	0.987556	0.0396962	3.50474e-05
10020	1	100	20	500	0.105335	0.0827332	0.0428583	0.0398749	0.0226014	0.920231	0.0460362	1.0022	0.0365501	3.50403e-05
10021	1	100	19	500	0.110074	0.0793627	0.0392107	0.040152	0.0307116	0.927397	0.0473703	1.00438	0.0362345	3.80854e-05
10022	1	100	20	500	0.106006	0.0778296	0.0390145	0.0388151	0.0281769	0.927568	0.0532851	1.00276	0.0330121	3.89026e-05
10023	1	100	19	500	0.105433	0.0796651	0.0424499	0.0372152	0.0257683	0.923065	0.040343	0.99532	0.0381872	3.50805e-05
10024	1	100	18	500	0.112928	0.0853346	0.0452847	0.0400499	0.0275929	0.916653	0.046234	0.994985	0.0381998	3.56275e-05
10025	1	100	19	500	0.113718	0.0869017	0.046252	0.0406496	0.026816	0.917901	0.0439817	0.999329	0.0389659	3.4158e-05
10026	1	100	19	500	0.103548	0.0779602	0.0444517	0.0335086	0.0255879	0.927048	0.0415172	0.988192	0.0301241	2.94948e-05
10027	1	100	20	500	0.10477	0.0784516	0.0431641	0.0352875	0.0263188	0.926634	0.0417103	0.991338	0.0337325	3.255e-05
