Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	48	500	NA	0.261461	0.247263	0.150976	0.0962871	0.0141981	0.760528	0.0326191	1.24605	0.0504527
5002	1	100	37	500	NA	0.266195	0.247483	0.137227	0.110255	0.018712	0.764107	0.0303526	1.2473	0.049138
5003	1	100	30	500	NA	0.292774	0.25696	0.145422	0.111538	0.0358146	0.755839	0.036773	1.24534	0.0616294
5004	1	100	23	500	NA	0.297037	0.254065	0.133845	0.12022	0.0429729	0.760092	0.0428653	1.23964	0.0638851
5005	1	100	25	500	NA	0.320526	0.263853	0.142246	0.121608	0.056673	0.747761	0.0482796	1.23348	0.0844986
5006	1	100	18	500	NA	0.325805	0.270531	0.139195	0.131336	0.0552736	0.746388	0.0478946	1.2501	0.0848395
5007	1	100	22	500	NA	0.33532	0.271952	0.137741	0.134212	0.0633679	0.745213	0.0488364	1.24583	0.0843347
5008	1	100	21	500	NA	0.372348	0.278023	0.139953	0.13807	0.0943249	0.743918	0.0498547	1.22995	0.0817836
5009	1	100	19	500	NA	0.375665	0.286174	0.140984	0.14519	0.0894905	0.735395	0.048287	1.23984	0.0937841
5010	1	100	19	500	NA	0.339054	0.276346	0.137125	0.139221	0.0627073	0.745134	0.0389646	1.2482	0.0707877
5011	1	100	19	500	NA	0.330415	0.27352	0.136132	0.137388	0.0568952	0.746771	0.0413139	1.25032	0.0754491
5012	1	100	19	500	NA	0.361464	0.280873	0.146791	0.134082	0.0805915	0.742732	0.0453491	1.23791	0.0705512
5013	1	100	19	500	NA	0.387334	0.285267	0.142257	0.14301	0.102067	0.740654	0.0406195	1.22192	0.077856
5014	1	100	20	500	NA	0.395727	0.280616	0.133302	0.147314	0.115112	0.749436	0.03471	1.20644	0.060485
5015	1	100	16	500	NA	0.407067	0.284016	0.139827	0.144188	0.123051	0.746512	0.0373371	1.2021	0.0658243
5016	1	100	17	500	NA	0.434581	0.297387	0.141551	0.155836	0.137193	0.723074	0.128474	1.18049	0.19593
5017	1	100	17	500	NA	0.429938	0.293712	0.138019	0.155693	0.136226	0.735827	0.0583291	1.19529	0.0986333
5018	1	100	13	500	NA	0.406546	0.287732	0.13114	0.156592	0.118814	0.740062	0.0613775	1.21208	0.103761
5019	1	100	16	500	NA	0.418049	0.292444	0.142906	0.149538	0.125605	0.729002	0.119614	1.18607	0.182615
5020	1	100	12	500	NA	0.414753	0.286073	0.146731	0.139342	0.12868	0.744995	0.0372424	1.19762	0.0656824
5021	1	100	13	500	NA	0.410545	0.286596	0.142681	0.143914	0.123949	0.742826	0.0373789	1.20147	0.0652546
5022	1	100	11	500	NA	0.447596	0.299349	0.150817	0.148531	0.148247	0.733302	0.0810109	1.18659	0.12494
5023	1	100	16	500	NA	0.416868	0.285929	0.139456	0.146473	0.130939	0.745148	0.0351685	1.19486	0.055341
5024	1	100	14	500	NA	0.364552	0.270876	0.133983	0.136893	0.0936763	0.749665	0.0401533	1.19823	0.0672932
5025	1	100	15	500	NA	0.3573	0.265668	0.13152	0.134148	0.0916316	0.758744	0.0275864	1.20848	0.0475348
5026	1	100	16	500	NA	0.372182	0.266825	0.13605	0.130775	0.105358	0.754254	0.0351656	1.19306	0.0548316
5027	1	100	14	500	NA	0.370353	0.266216	0.138157	0.128059	0.104137	0.756436	0.0301453	1.1966	0.0459789
5028	1	100	16	500	NA	0.390199	0.274409	0.14299	0.131419	0.11579	0.751449	0.0332996	1.19167	0.0515563
5029	1	100	15	500	NA	0.349375	0.263091	0.143607	0.119484	0.0862836	0.758426	0.0283189	1.20117	0.0436377
5030	1	100	14	500	NA	0.362985	0.26676	0.146529	0.120231	0.0962244	0.756433	0.0238899	1.19705	0.0365904
5031	1	100	18	500	NA	0.364263	0.268187	0.146386	0.1218	0.0960766	0.747364	0.0597199	1.18237	0.0938573
5032	1	100	14	500	NA	0.362156	0.266934	0.145192	0.121742	0.0952222	0.755322	0.0258586	1.19591	0.0396619
5033	1	100	15	500	NA	0.37199	0.269781	0.146985	0.122796	0.102209	0.753225	0.0266636	1.19205	0.0416949
5034	1	100	16	500	NA	0.381241	0.272051	0.148434	0.123618	0.109189	0.754423	0.025447	1.19383	0.0400332
5035	1	100	16	500	NA	0.34754	0.262657	0.132915	0.129741	0.084884	0.75728	0.0277941	1.19908	0.0426602
5036	1	100	18	500	NA	0.35319	0.265811	0.130462	0.135349	0.0873794	0.759961	0.0174466	1.20588	0.0251568
5037	1	100	16	500	NA	0.359738	0.267528	0.135465	0.132063	0.0922102	0.754593	0.0508532	1.19536	0.0797086
5038	1	100	20	500	NA	0.363082	0.26846	0.143959	0.124501	0.0946213	0.756578	0.0176066	1.1995	0.0253766
5039	1	100	18	500	NA	0.36359	0.269163	0.143419	0.125744	0.0944269	0.750443	0.053478	1.18814	0.0837731
5040	1	100	15	500	NA	0.376167	0.275068	0.143463	0.131605	0.1011	0.755782	0.0174663	1.19822	0.0258352
5041	1	100	15	500	NA	0.385209	0.280756	0.146936	0.13382	0.104453	0.749029	0.031449	1.1954	0.0485762
5042	1	100	15	500	NA	0.373936	0.27532	0.15635	0.11897	0.0986156	0.750438	0.0433177	1.19408	0.0670229
5043	1	100	14	500	NA	0.363636	0.274734	0.175392	0.0993414	0.0889022	0.746983	0.0434048	1.19352	0.0419212
5044	1	100	12	500	NA	0.351131	0.269176	0.165113	0.104063	0.0819547	0.753829	0.0289548	1.20052	0.0418265
5045	1	100	12	500	NA	0.339295	0.265437	0.159093	0.106345	0.0738571	0.75863	0.0213228	1.20753	0.0303497
5046	1	100	13	500	NA	0.34933	0.267983	0.156741	0.111241	0.0813469	0.7558	0.0241415	1.2092	0.0354578
5047	1	100	12	500	NA	0.342331	0.26842	0.15753	0.11089	0.0739108	0.752635	0.0365365	1.21195	0.0529487
5048	1	100	14	500	NA	0.346303	0.269825	0.1757	0.0941251	0.0764779	0.752817	0.0279513	1.21137	0.0406856
5049	1	100	16	500	NA	0.339643	0.262386	0.164184	0.0982016	0.0772576	0.757742	0.0252058	1.2009	0.0409473
5050	1	100	14	500	NA	0.32454	0.256653	0.166489	0.0901638	0.0678866	0.760589	0.017839	1.20546	0.0291526
5051	1	100	15	500	NA	0.327717	0.255741	0.162594	0.0931471	0.071976	0.761217	0.0174515	1.20664	0.0287361
5052	1	100	14	500	NA	0.319443	0.255073	0.170683	0.08439	0.0643701	0.759836	0.0222356	1.20505	0.0357777
5053	1	100	13	500	NA	0.297447	0.249968	0.163381	0.0865871	0.0474793	0.763019	0.0273348	1.2097	0.0441844
