Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	48	500	0.223113	0.174873	0.103552	0.0713211	0.0482395	0.83301	0.0645484	1.14272	0.0722607	3.45735e-05
10002	1	100	26	500	0.198475	0.157258	0.0990064	0.0582511	0.0412178	0.85124	0.0540756	1.13383	0.0574593	3.04383e-05
10003	1	100	28	500	0.208637	0.15854	0.101381	0.0571583	0.0500969	0.849989	0.0497032	1.12592	0.0562742	3.07677e-05
10004	1	100	25	500	0.238994	0.16943	0.108376	0.0610538	0.0695641	0.839449	0.069363	1.11512	0.0771584	2.98762e-05
10005	1	100	22	500	0.210628	0.154158	0.100619	0.0535398	0.0564696	0.85283	0.0691021	1.11356	0.068025	2.97053e-05
10006	1	100	23	500	0.223662	0.161504	0.102406	0.0590977	0.0621581	0.842118	0.0825759	1.10965	0.0869859	3.16882e-05
10007	1	100	23	500	0.220036	0.155939	0.103675	0.0522641	0.0640977	0.847783	0.0707045	1.10437	0.080047	3.14664e-05
10008	1	100	20	500	0.206082	0.149457	0.0973711	0.0520861	0.0566245	0.859968	0.0566622	1.11328	0.0569952	2.97675e-05
10009	1	100	21	500	0.210834	0.152189	0.104352	0.0478366	0.0586449	0.855265	0.0510742	1.111	0.0537523	2.92445e-05
10010	1	100	22	500	0.235411	0.165854	0.118735	0.0471194	0.0695562	0.844599	0.04988	1.11194	0.0546337	3.06046e-05
10011	1	100	22	500	0.218059	0.164966	0.120383	0.0445833	0.0530935	0.838676	0.0571373	1.12012	0.0731465	2.86486e-05
10012	1	100	22	500	0.216102	0.161591	0.117583	0.0440075	0.0545118	0.845691	0.0421353	1.12162	0.0504453	2.89808e-05
10013	1	100	21	500	0.204406	0.154034	0.115204	0.0388301	0.0503717	0.849284	0.049107	1.11421	0.0511614	2.90929e-05
10014	1	100	23	500	0.211143	0.160607	0.121965	0.0386424	0.0505356	0.844405	0.0416701	1.1228	0.052974	2.80962e-05
10015	1	100	21	500	0.207886	0.159901	0.12648	0.0334213	0.0479846	0.848527	0.0319202	1.12637	0.0407654	2.61879e-05
10016	1	100	21	500	0.215693	0.1657	0.133367	0.0323327	0.0499929	0.840746	0.035065	1.12061	0.0494978	2.47413e-05
10017	1	100	18	500	0.207929	0.164184	0.133166	0.0310176	0.043745	0.841518	0.041552	1.12545	0.0485549	2.5348e-05
10018	1	100	21	500	0.204815	0.162127	0.137001	0.025126	0.0426874	0.842367	0.0282367	1.11702	0.0491256	2.52211e-05
10019	1	100	23	500	0.226651	0.169828	0.137917	0.0319113	0.0568233	0.840107	0.0382601	1.11847	0.0573362	2.57591e-05
10020	1	100	19	500	0.218324	0.170127	0.138958	0.0311694	0.0481968	0.839508	0.0321154	1.13118	0.0472741	2.53494e-05
10021	1	100	20	500	0.226117	0.176657	0.138508	0.0381493	0.0494599	0.832753	0.0427486	1.13139	0.0546632	2.56504e-05
10022	1	100	23	500	0.233483	0.183344	0.135391	0.0479536	0.0501388	0.824017	0.0563301	1.13465	0.0634839	2.68195e-05
10023	1	100	19	500	0.231508	0.179387	0.136112	0.0432745	0.0521211	0.830663	0.0506921	1.12861	0.0582556	2.70464e-05
10024	1	100	17	500	0.125288	0.0658715	0.0231712	0.0427003	0.0594161	0.928543	0.0665529	0.996227	0.0691144	2.57477e-05
10025	1	100	16	500	0.126701	0.0717575	0.0267386	0.0450189	0.054943	0.929118	0.0455271	1.00709	0.0608448	2.45301e-05
10026	1	100	16	500	0.12221	0.0675891	0.0232864	0.0443028	0.0546212	0.937603	0.0475065	1.01346	0.0540029	2.47194e-05
10027	1	100	17	500	0.115911	0.0585979	0.020444	0.0381539	0.0573128	0.937597	0.0533828	0.997384	0.0528478	2.50428e-05
10028	1	100	19	500	0.0971864	0.0491568	0.0181232	0.0310336	0.0480295	0.955239	0.0330267	1.00712	0.0405186	2.422e-05
10029	1	100	20	500	0.0960975	0.0507436	0.0178008	0.0329429	0.0453538	0.951338	0.0354613	1.01309	0.0444269	2.39032e-05
10030	1	100	18	500	0.0994833	0.0512611	0.0180464	0.0332147	0.0482222	0.950144	0.0371855	1.01228	0.0440302	2.44319e-05
10031	1	100	17	500	0.0916613	0.0511581	0.0173014	0.0338567	0.0405032	0.946163	0.045285	1.00998	0.0482278	2.39668e-05
10032	1	100	17	500	0.0929587	0.0503675	0.0191628	0.0312047	0.0425911	0.953655	0.0404899	1.00691	0.047107	2.44233e-05
10033	1	100	19	500	0.119442	0.0647468	0.0246082	0.0401386	0.0546956	0.942094	0.0472015	1.00629	0.0472721	2.51904e-05
10034	1	100	21	500	0.114653	0.0605718	0.0288135	0.0317583	0.054081	0.942031	0.041083	0.988537	0.0592292	2.47022e-05
10035	1	100	22	500	0.116136	0.0634531	0.0282395	0.0352137	0.052683	0.937749	0.0415631	0.993966	0.0607641	2.478e-05
10036	1	100	21	500	0.137501	0.076118	0.0370838	0.0390343	0.0613833	0.927692	0.047053	0.983172	0.0652596	2.42263e-05
10037	1	100	21	500	0.133437	0.0762046	0.0371957	0.0390089	0.0572328	0.924437	0.065094	0.982987	0.0807948	2.4556e-05
10038	1	100	23	500	0.128637	0.0743503	0.0361267	0.0382236	0.0542863	0.927587	0.0551996	0.986261	0.0655229	2.4497e-05
10039	1	100	22	500	0.124749	0.0714155	0.0336466	0.0377689	0.0533339	0.929145	0.0570248	0.987391	0.0632029	2.46108e-05
10040	1	100	26	500	0.120203	0.0699403	0.0361756	0.0337647	0.0502626	0.934738	0.0434311	0.985327	0.064764	2.43043e-05
10041	1	100	20	500	0.114689	0.0699083	0.0379421	0.0319662	0.0447804	0.931605	0.0485916	0.980308	0.0699329	2.37723e-05
10042	1	100	22	500	0.103818	0.0619802	0.0327469	0.0292333	0.0418373	0.936214	0.0491076	0.983163	0.0687136	2.42214e-05
10043	1	100	22	500	0.105035	0.0625495	0.0344603	0.0280892	0.0424853	0.939869	0.050023	0.981201	0.0645377	2.33651e-05
10044	1	100	21	500	0.115734	0.0674465	0.0368187	0.0306279	0.0482876	0.936089	0.0520175	0.980631	0.0619318	2.33109e-05
10045	1	100	19	500	0.134533	0.075279	0.0323026	0.0429764	0.0592541	0.925108	0.0533428	0.994126	0.0701534	2.3327e-05
10046	1	100	21	500	0.125723	0.0707967	0.0296446	0.0411521	0.0549259	0.930685	0.0485784	0.998906	0.0671836	2.32606e-05
10047	1	100	21	500	0.138712	0.0748416	0.0303773	0.0444643	0.0638709	0.924663	0.0617569	0.993296	0.0645135	2.34439e-05
10048	1	100	19	500	0.112185	0.0602484	0.0269124	0.0333359	0.0519371	0.940186	0.0451399	0.994746	0.061747	2.35665e-05
10049	1	100	19	500	0.118456	0.0652069	0.0313085	0.0338984	0.0532487	0.934627	0.0505914	0.989454	0.0681041	2.32895e-05
10050	1	100	18	500	0.124714	0.0645469	0.0306439	0.033903	0.0601676	0.941117	0.0486235	0.990136	0.06083	2.31005e-05
10051	1	100	24	500	0.138137	0.0652668	0.0356065	0.0296603	0.0728705	0.932988	0.0728757	0.964045	0.0844061	2.19659e-05
10052	1	100	21	500	0.165109	0.0791983	0.0431527	0.0360456	0.0859106	0.928362	0.0492751	0.964705	0.0636852	2.24453e-05
10053	1	100	22	500	0.185566	0.0946925	0.05721	0.0374825	0.0908732	0.922504	0.0512086	0.958738	0.06266	2.26634e-05
10054	1	100	22	500	0.17954	0.0948791	0.0571732	0.0377059	0.084661	0.915368	0.0686842	0.954694	0.0824033	2.30981e-05
10055	1	100	21	500	0.172215	0.0936713	0.0512428	0.0424285	0.0785436	0.913976	0.0652324	0.969803	0.0839284	2.46185e-05
10056	1	100	22	500	0.173488	0.0872944	0.0511034	0.036191	0.0861936	0.917113	0.0649467	0.958762	0.0814887	2.44125e-05
10057	1	100	21	500	0.188969	0.0998521	0.0619377	0.0379144	0.089117	0.905757	0.0659513	0.945694	0.0768497	2.42607e-05
10058	1	100	20	500	0.147458	0.0751777	0.0436963	0.0314815	0.0722806	0.928767	0.0595814	0.968925	0.0648009	2.42403e-05
10059	1	100	16	500	0.146309	0.0755611	0.0488838	0.0266774	0.0707474	0.922652	0.0802851	0.953149	0.0887414	2.39709e-05
10060	1	100	17	500	0.132385	0.0695274	0.0447817	0.0247456	0.0628581	0.936252	0.0511944	0.967207	0.0600613	2.39212e-05
10061	1	100	17	500	0.114655	0.0620703	0.0397431	0.0223272	0.0525846	0.942147	0.0446576	0.977359	0.0514347	2.39478e-05
10062	1	100	15	500	0.104896	0.0571843	0.0355251	0.0216591	0.0477116	0.94547	0.0593867	0.983913	0.067396	2.37449e-05
10063	1	100	22	500	0.107279	0.0649937	0.0442636	0.0207301	0.042285	0.932225	0.0741151	0.976009	0.0802347	2.3203e-05
10064	1	100	19	500	0.120666	0.0725026	0.0500681	0.0224345	0.0481637	0.932676	0.0444128	0.973961	0.053223	2.37381e-05
