Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	49	500	0.430187	0.396979	0.307591	0.0893883	0.0332074	0.651521	0.0482043	1.40607	0.0813918	3.00952e-05
10002	1	100	26	500	0.426185	0.395534	0.306229	0.0893051	0.0306505	0.655547	0.0474783	1.40981	0.0912112	2.99788e-05
10003	1	100	17	500	0.216894	0.191401	0.110291	0.0811098	0.025493	0.820512	0.0544201	1.17052	0.0709603	2.87406e-05
10004	1	100	14	500	0.208736	0.182454	0.100659	0.081795	0.0262816	0.83331	0.0536636	1.16683	0.0672627	2.92348e-05
10005	1	100	13	500	0.221478	0.195266	0.114723	0.080543	0.026212	0.819287	0.0461108	1.1755	0.0674419	2.82389e-05
10006	1	100	17	500	0.214912	0.184549	0.103668	0.0808813	0.0303633	0.832182	0.0527578	1.16521	0.0660259	2.89399e-05
10007	1	100	13	500	0.20007	0.17462	0.0945498	0.0800697	0.0254504	0.835235	0.0560367	1.15332	0.0848995	2.92064e-05
10008	1	100	14	500	0.194549	0.163229	0.0784484	0.0847806	0.03132	0.847133	0.0589905	1.13544	0.0847294	3.0124e-05
10009	1	100	13	500	0.187858	0.160441	0.0772985	0.0831421	0.0274179	0.852749	0.053237	1.13614	0.0659511	3.09932e-05
10010	1	100	14	500	0.183642	0.156235	0.074053	0.0821823	0.0274063	0.856302	0.0634251	1.13205	0.0843884	3.13848e-05
10011	1	100	13	500	0.189395	0.163063	0.0814318	0.0816315	0.0263313	0.848033	0.0512625	1.13766	0.065553	3.14026e-05
10012	1	100	13	500	0.186601	0.159113	0.0756328	0.0834806	0.0274877	0.851215	0.061012	1.13207	0.079459	3.20797e-05
10013	1	100	16	500	0.180119	0.151762	0.0688742	0.0828879	0.0283571	0.859987	0.0673251	1.12801	0.0843714	3.24181e-05
10014	1	100	14	500	0.176112	0.148955	0.0694636	0.079491	0.0271575	0.861029	0.0617777	1.12307	0.0686789	3.22446e-05
