Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	42	500	0.26616	0.248277	0.150989	0.097288	0.0178836	0.760528	0.0326191	1.24605	0.0504527
5002	1	100	45	500	0.267814	0.252099	0.153468	0.0986319	0.0157144	0.756361	0.0372892	1.25037	0.0581071
5003	1	100	50	500	0.270535	0.255009	0.155684	0.0993246	0.0155262	0.75457	0.0384381	1.25418	0.0592898
5004	1	100	47	500	0.276131	0.256287	0.157024	0.0992636	0.0198437	0.753614	0.0397316	1.2525	0.0632617
5005	1	100	46	500	0.279996	0.261969	0.166123	0.0958458	0.0180265	0.748838	0.0434596	1.26021	0.0676213
5006	1	100	46	500	0.293029	0.270372	0.16904	0.101331	0.0226566	0.741936	0.0463387	1.26741	0.0728412
5007	1	100	37	500	0.283187	0.264331	0.16128	0.103051	0.0188555	0.746195	0.0476233	1.26116	0.0684459
5008	1	100	47	500	0.279294	0.261921	0.159429	0.102492	0.0173727	0.748721	0.0448468	1.26038	0.0683632
5009	1	100	44	500	0.279483	0.260922	0.156221	0.104701	0.018561	0.749751	0.0450878	1.25845	0.0679835
5010	1	100	48	500	0.284684	0.266034	0.159231	0.106803	0.0186503	0.746072	0.044544	1.26557	0.0682114
5011	1	100	49	500	0.29085	0.270757	0.166467	0.10429	0.020093	0.742662	0.0476983	1.27056	0.0692788
5012	1	100	47	500	0.289898	0.273662	0.169254	0.104409	0.0162352	0.739617	0.0503965	1.27505	0.0759982
5013	1	100	41	500	0.30102	0.281568	0.175728	0.10584	0.0194524	0.733146	0.0515599	1.284	0.0810244
5014	1	100	46	500	0.307625	0.286622	0.183631	0.102991	0.0210039	0.729232	0.0547802	1.28834	0.0861022
5015	1	100	52	500	0.311574	0.288388	0.184406	0.103981	0.0231865	0.727199	0.0550976	1.28799	0.0894142
5016	1	100	53	500	0.309681	0.288877	0.182991	0.105885	0.0208046	0.727394	0.055738	1.29046	0.0882364
5017	1	100	38	500	0.311492	0.29332	0.187706	0.105614	0.0181724	0.723403	0.0581127	1.29852	0.0932499
5018	1	100	46	500	0.323371	0.303532	0.19975	0.103782	0.0198385	0.715548	0.0584841	1.30931	0.0910979
5019	1	100	51	500	0.33324	0.311717	0.208901	0.102816	0.0215234	0.708915	0.0586459	1.31807	0.090141
5020	1	100	43	500	0.336768	0.318351	0.217811	0.100539	0.0184173	0.702865	0.0617108	1.32596	0.101439
5021	1	100	44	500	0.340431	0.323565	0.224244	0.099321	0.016866	0.698741	0.0593357	1.33485	0.0989178
5022	1	100	43	500	0.344857	0.325357	0.223005	0.102352	0.0195004	0.698223	0.0596941	1.33661	0.0978431
5023	1	100	44	500	0.348591	0.332426	0.232765	0.099661	0.016165	0.692049	0.0605155	1.34625	0.101039
5024	1	100	45	500	0.349331	0.33299	0.232058	0.100933	0.0163408	0.692518	0.0594886	1.34692	0.0962123
5025	1	100	31	500	0.351844	0.33743	0.235972	0.101459	0.0144136	0.688547	0.0584135	1.35332	0.0963934
5026	1	100	35	500	0.362524	0.345033	0.242548	0.102486	0.0174907	0.682493	0.0636532	1.35969	0.106817
5027	1	100	41	500	0.367779	0.351496	0.25348	0.0980159	0.0162831	0.676774	0.0598732	1.37163	0.100335
5028	1	100	41	500	0.375895	0.360919	0.26597	0.0949492	0.0149759	0.670906	0.0588786	1.3822	0.094787
5029	1	100	37	500	0.374274	0.363883	0.274374	0.0895093	0.0103908	0.666607	0.0634265	1.38882	0.103041
5030	1	100	48	500	0.386162	0.373111	0.283402	0.0897095	0.0130503	0.66087	0.0607751	1.39816	0.0983801
5031	1	100	35	500	0.391005	0.376709	0.290798	0.0859105	0.0142966	0.6579	0.0582135	1.40212	0.0935358
5032	1	100	37	500	0.386579	0.377067	0.291907	0.0851607	0.0095115	0.656454	0.0598084	1.40369	0.0991732
5033	1	100	38	500	0.393992	0.381764	0.297047	0.0847168	0.0122278	0.654404	0.0568144	1.4093	0.0933974
5034	1	100	43	500	0.400453	0.389451	0.307988	0.081463	0.0110013	0.648681	0.0567676	1.42027	0.096815
5035	1	100	47	500	0.405492	0.394217	0.312175	0.0820414	0.0112752	0.64509	0.0566106	1.42595	0.0985164
5036	1	100	37	500	0.40553	0.399189	0.321644	0.0775445	0.00634144	0.640513	0.0550407	1.4347	0.0972559
5037	1	100	35	500	0.40816	0.401138	0.324569	0.0765693	0.00702199	0.638656	0.0555844	1.43648	0.0996803
5038	1	100	44	500	0.423893	0.407766	0.330394	0.0773729	0.0161268	0.635269	0.0550894	1.44087	0.102519
5039	1	100	41	500	0.426146	0.413206	0.338551	0.074655	0.0129399	0.630527	0.0535488	1.44807	0.0966586
5040	1	100	39	500	0.43356	0.416179	0.341382	0.0747975	0.0173812	0.628461	0.0517067	1.44935	0.0997823
5041	1	100	31	500	0.439567	0.42516	0.35189	0.0732701	0.0144074	0.621365	0.0529748	1.46099	0.0985442
5042	1	100	40	500	0.445867	0.429523	0.357655	0.0718686	0.0163442	0.618819	0.0490235	1.46686	0.0925054
5043	1	100	31	500	0.440437	0.432759	0.369888	0.0628708	0.00767856	0.615532	0.0491842	1.4757	0.0900111
5044	1	100	46	500	0.442988	0.430367	0.364778	0.0655888	0.0126208	0.617579	0.0478875	1.47015	0.0904082
5045	1	100	36	500	0.447386	0.43502	0.372333	0.0626864	0.0123662	0.614202	0.0441128	1.47603	0.0833222
5046	1	100	36	500	0.455199	0.437725	0.377644	0.0600815	0.0174733	0.612732	0.0451309	1.47672	0.0819131
5047	1	100	34	500	0.450884	0.442067	0.388271	0.0537965	0.00881685	0.608189	0.043322	1.48524	0.0778625
5048	1	100	36	500	0.455784	0.445135	0.391749	0.0533856	0.0106488	0.605814	0.0421489	1.48744	0.0791473
5049	1	100	37	500	0.454026	0.444021	0.390907	0.0531144	0.0100048	0.607027	0.0444027	1.48704	0.0777399
5050	1	100	37	500	0.459426	0.446443	0.392766	0.0536773	0.0129826	0.605605	0.0409567	1.48946	0.0782226
5051	1	100	36	500	0.464592	0.449884	0.395958	0.0539261	0.0147074	0.603254	0.0403924	1.49267	0.0743522
5052	1	100	38	500	0.461512	0.454197	0.406512	0.0476848	0.00731531	0.59812	0.0379153	1.49879	0.0732801
5053	1	100	34	500	0.475357	0.456917	0.40831	0.0486063	0.0184402	0.597749	0.0400315	1.49764	0.077286
5054	1	100	43	500	0.477277	0.45838	0.413975	0.0444053	0.0188968	0.597452	0.03705	1.50113	0.0699464
5055	1	100	37	500	0.478849	0.464433	0.419353	0.0450799	0.0144161	0.593087	0.0368145	1.51252	0.0745727
5056	1	100	31	500	0.474793	0.466892	0.426465	0.0404273	0.00790095	0.590981	0.0342254	1.5202	0.0696145
5057	1	100	35	500	0.484312	0.476209	0.432366	0.0438429	0.00810247	0.585366	0.0363545	1.5339	0.0781573
5058	1	100	38	500	0.486399	0.478363	0.430115	0.0482472	0.00803589	0.583895	0.0384969	1.53705	0.0798588
5059	1	100	39	500	0.489793	0.482744	0.434827	0.0479174	0.00704819	0.581233	0.0368171	1.5449	0.0806657
5060	1	100	38	500	0.492927	0.484698	0.435314	0.0493838	0.00822874	0.580337	0.038216	1.54713	0.0815248
5061	1	100	38	500	0.488492	0.482667	0.432996	0.0496707	0.00582579	0.581564	0.0389154	1.54485	0.0829561
5062	1	100	38	500	0.487815	0.481026	0.429094	0.0519314	0.006789	0.582431	0.0385508	1.54145	0.0852161
5063	1	100	33	500	0.488714	0.4807	0.422286	0.0584137	0.00801406	0.582757	0.0383475	1.5408	0.0845496
5064	1	100	38	500	0.498049	0.48696	0.42865	0.0583093	0.0110896	0.579425	0.0393117	1.54951	0.0885255
5065	1	100	44	500	0.498243	0.48757	0.426726	0.0608447	0.010673	0.578783	0.0390089	1.54909	0.0916699
5066	1	100	37	500	0.493742	0.489379	0.428013	0.0613653	0.00436357	0.577375	0.0399127	1.55603	0.0917537
5067	1	100	44	500	0.503454	0.492653	0.432335	0.0603181	0.0108014	0.575782	0.038535	1.55736	0.0897397
5068	1	100	41	500	0.504806	0.496177	0.438906	0.0572709	0.00862926	0.573092	0.0363203	1.56325	0.0878582
5069	1	100	44	500	0.501436	0.497079	0.442817	0.0542622	0.00435692	0.57214	0.0358437	1.56711	0.0856378
5070	1	100	46	500	0.510245	0.50542	0.44739	0.0580304	0.00482464	0.56735	0.0367115	1.57943	0.0891353
5071	1	100	41	500	0.511824	0.507316	0.451569	0.0557469	0.00450791	0.565915	0.0384669	1.58257	0.0933876
5072	1	100	44	500	0.519642	0.514388	0.458082	0.0563057	0.00525478	0.561724	0.0386621	1.59297	0.093166
5073	1	100	45	500	0.526728	0.521462	0.463309	0.0581524	0.00526613	0.557776	0.0392384	1.60392	0.0950962
5074	1	100	43	500	0.532797	0.527459	0.470351	0.0571075	0.00533873	0.553781	0.0396446	1.61154	0.0980548
5075	1	100	38	500	0.537664	0.531495	0.47375	0.0577452	0.00616906	0.551165	0.0402098	1.61811	0.100031
5076	1	100	43	500	0.542941	0.536414	0.477717	0.0586972	0.00652617	0.548135	0.0385633	1.62471	0.0974898
5077	1	100	36	500	0.543039	0.538674	0.476324	0.06235	0.00436489	0.546834	0.0411612	1.62903	0.0999174
5078	1	100	46	500	0.557592	0.549427	0.488181	0.0612451	0.00816532	0.541119	0.0410434	1.64352	0.0996322
5079	1	100	37	500	0.562756	0.556006	0.499374	0.0566327	0.00674962	0.5367	0.0392423	1.65361	0.0994926
5080	1	100	34	500	0.33848	0.332546	0.277776	0.0547699	0.00593341	0.690289	0.0518549	1.35081	0.08604
5081	1	100	41	500	0.344405	0.336593	0.2804	0.0561937	0.00781196	0.688186	0.0511623	1.35614	0.0839607
5082	1	100	31	500	0.350981	0.341935	0.285521	0.056414	0.00904625	0.684427	0.0503884	1.36235	0.0830617
5083	1	100	42	500	0.353953	0.345745	0.289248	0.056497	0.00820837	0.680991	0.052056	1.36679	0.0853103
5084	1	100	39	500	0.357716	0.350663	0.290611	0.0600518	0.00705339	0.677149	0.0524026	1.37337	0.0865816
5085	1	100	45	500	0.372523	0.359282	0.296942	0.0623406	0.0132405	0.671439	0.052829	1.38147	0.0882929
5086	1	100	36	500	0.371829	0.36204	0.30297	0.0590692	0.00978965	0.668102	0.0490004	1.38481	0.0845126
5087	1	100	40	500	0.378981	0.366005	0.303118	0.0628871	0.0129763	0.666354	0.0502675	1.3893	0.0883108
5088	1	100	43	500	0.386891	0.373815	0.316608	0.0572069	0.0130761	0.660598	0.0460678	1.39954	0.0805151
5089	1	100	49	500	0.387667	0.374936	0.316155	0.0587807	0.0127314	0.658902	0.0494495	1.40184	0.0875758
5090	1	100	36	500	0.3827	0.376857	0.322944	0.0539129	0.00584237	0.657592	0.0461293	1.40775	0.0786785
5091	1	100	40	500	0.387973	0.381407	0.329225	0.0521823	0.00656535	0.6545	0.0463383	1.41416	0.0768761
5092	1	100	36	500	0.391405	0.384881	0.333411	0.05147	0.00652385	0.651608	0.0433894	1.41824	0.0731393
5093	1	100	39	500	0.392414	0.38512	0.3338	0.0513196	0.0072946	0.651364	0.0429032	1.41817	0.0739893
5094	1	100	38	500	0.396868	0.388213	0.337715	0.0504972	0.00865589	0.649784	0.0424761	1.4212	0.0744861
5095	1	100	36	500	0.398259	0.391691	0.342569	0.0491224	0.00656724	0.647211	0.0450289	1.4268	0.0754288
5096	1	100	37	500	0.400974	0.393655	0.346891	0.0467635	0.00731959	0.64567	0.0434218	1.429	0.0743864
5097	1	100	40	500	0.406265	0.398298	0.353682	0.0446163	0.00796696	0.642318	0.0403283	1.43392	0.0721793
5098	1	100	34	500	0.408573	0.402004	0.360334	0.0416707	0.00656889	0.639162	0.0390615	1.43974	0.0698083
5099	1	100	41	500	0.410855	0.40421	0.362755	0.0414549	0.0066445	0.637388	0.0417366	1.44225	0.0732392
5100	1	100	38	500	0.412721	0.406044	0.3696	0.0364434	0.00667705	0.635171	0.0390175	1.44624	0.0703285
5101	1	100	40	500	0.421764	0.415067	0.377778	0.0372894	0.00669669	0.629956	0.0380278	1.45622	0.0682301
