Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	60	500	0.225714	0.202512	0.166668	0.035844	0.0232025	0.808374	0.0335869	1.1867	0.0365962
5002	1	100	36	500	0.122766	0.0906568	0.0451398	0.0455169	0.0321097	0.912296	0.0342534	1.06322	0.0371054
5003	1	100	33	500	0.120572	0.0924928	0.053968	0.0385248	0.0280787	0.910908	0.0333279	1.06074	0.0359491
5004	1	100	26	500	0.107558	0.0884777	0.0571605	0.0313172	0.0190804	0.915196	0.0299775	1.06029	0.0289783
5005	1	100	24	500	0.110408	0.087962	0.0552935	0.0326685	0.0224464	0.91503	0.0331044	1.05634	0.0265425
5006	1	100	23	500	0.109103	0.0885579	0.0576252	0.0309327	0.0205452	0.913863	0.0343227	1.05568	0.0265158
5007	1	100	20	500	0.111736	0.0868619	0.0563002	0.0305617	0.0248744	0.91505	0.033423	1.05082	0.0337698
5008	1	100	19	500	0.101067	0.0825653	0.0546742	0.0278911	0.0185013	0.918991	0.0305612	1.0543	0.0251953
5009	1	100	19	500	0.0950051	0.0761149	0.0488772	0.0272377	0.0188902	0.925444	0.0277871	1.05026	0.0251467
5010	1	100	19	500	0.0938072	0.0828618	0.0570589	0.0258029	0.0109454	0.918135	0.0284802	1.05787	0.0216063
5011	1	100	16	500	0.0948344	0.0856867	0.0557616	0.0299251	0.00914771	0.916993	0.0266304	1.06318	0.0191879
5012	1	100	17	500	0.0857025	0.0773165	0.0481513	0.0291651	0.00838606	0.924416	0.0203563	1.05924	0.0179754
5013	1	100	13	500	0.0905481	0.0821668	0.0549931	0.0271737	0.00838136	0.919814	0.0216626	1.06052	0.0183975
5014	1	100	16	500	0.095763	0.0853536	0.0552625	0.0300911	0.0104093	0.916962	0.0260497	1.06316	0.0169248
5015	1	100	16	500	0.097491	0.0879626	0.059089	0.0288736	0.00952834	0.914514	0.0218373	1.06399	0.0164694
5016	1	100	15	500	0.0970353	0.0879174	0.0574309	0.0304865	0.00911787	0.914029	0.0248989	1.0619	0.0161877
5017	1	100	10	500	0.10063	0.091918	0.0591015	0.0328165	0.00871176	0.910848	0.0232588	1.06487	0.0159795
5018	1	100	15	500	0.107488	0.0979212	0.0647993	0.0331218	0.00956721	0.905037	0.0274284	1.06781	0.0134853
5019	1	100	17	500	0.103795	0.0940409	0.0691499	0.024891	0.00975437	0.909896	0.024528	1.0675	0.0151359
5020	1	100	13	500	0.10415	0.0938944	0.0718918	0.0220026	0.0102553	0.90822	0.0264594	1.06453	0.0132024
5021	1	100	12	500	0.101513	0.0922909	0.0700782	0.0222127	0.00922244	0.910451	0.0234137	1.06557	0.0137186
5022	1	100	11	500	0.102601	0.0926863	0.0693332	0.0233531	0.00991476	0.91	0.0251253	1.06613	0.0151564
5023	1	100	13	500	0.103099	0.0942329	0.0717223	0.0225106	0.00886639	0.907238	0.0260185	1.06284	0.0158338
5024	1	100	17	500	0.104421	0.0958498	0.0735089	0.0223409	0.00857086	0.907353	0.0242203	1.0643	0.0144088
5025	1	100	12	500	0.106708	0.0955231	0.0738835	0.0216396	0.0111846	0.906691	0.0286853	1.06318	0.0138938
5026	1	100	11	500	0.103915	0.0955538	0.0734899	0.0220639	0.00836126	0.906917	0.0290732	1.06667	0.0124013
5027	1	100	10	500	0.103705	0.0952339	0.0731048	0.0221291	0.00847094	0.907175	0.0265288	1.06483	0.0153493
5028	1	100	13	500	0.106626	0.097259	0.0757796	0.0214794	0.00936709	0.906699	0.0310225	1.06932	0.0139211
5029	1	100	12	500	0.061459	0.0520795	0.0314887	0.0205908	0.00937956	0.949219	0.0345968	1.01299	0.0126989
5030	1	100	8	500	0.067422	0.0591623	0.0378165	0.0213458	0.00825967	0.942379	0.0316015	1.01125	0.0129133
5031	1	100	8	500	0.0658553	0.0575882	0.0354761	0.0221121	0.00826708	0.943145	0.0334962	1.00963	0.0137294
5032	1	100	7	500	0.0761786	0.0678995	0.0467317	0.0211678	0.00827913	0.933252	0.0360784	1.01262	0.0115998
5033	1	100	10	500	0.0813214	0.0735509	0.0529742	0.0205767	0.00777043	0.928435	0.0328088	1.01579	0.0105981
5034	1	100	7	500	0.0746525	0.0657854	0.0438173	0.0219681	0.00886707	0.935719	0.0334014	1.01565	0.0108257
5035	1	100	8	500	0.0675712	0.0577769	0.0358868	0.0218901	0.00979421	0.943463	0.0379634	1.01621	0.0104839
5036	1	100	12	500	0.0756893	0.0660683	0.0456727	0.0203956	0.00962106	0.935458	0.036866	1.01663	0.0101883
5037	1	100	13	500	0.0702558	0.0603758	0.0395354	0.0208404	0.00988001	0.940947	0.0389534	1.01606	0.012486
5038	1	100	10	500	0.0611985	0.0510284	0.0302595	0.0207689	0.0101701	0.949522	0.0384007	1.01699	0.0114745
5039	1	100	9	500	0.0601203	0.0500176	0.0291553	0.0208622	0.0101027	0.951333	0.0370411	1.0175	0.0133993
5040	1	100	11	500	0.06636	0.0500842	0.0289993	0.0210849	0.0162758	0.95089	0.0406442	1.01542	0.0160348
5041	1	100	12	500	0.0699734	0.0502792	0.027774	0.0225052	0.0196942	0.95154	0.039059	1.01428	0.0177982
5042	1	100	8	500	0.0551456	0.0454213	0.024245	0.0211762	0.00972438	0.955488	0.0353584	1.01706	0.0108186
5043	1	100	12	500	0.0515195	0.0393838	0.0195846	0.0197992	0.0121357	0.959472	0.0407456	1.01396	0.0137482
5044	1	100	13	500	0.0602428	0.0471674	0.0272961	0.0198712	0.0130755	0.951764	0.0446066	1.01402	0.0122147
5045	1	100	11	500	0.0561645	0.0442412	0.0250386	0.0192026	0.0119233	0.955946	0.0403506	1.01555	0.0121007
5046	1	100	9	500	0.0573428	0.0462011	0.0262939	0.0199072	0.0111416	0.955059	0.0395966	1.01588	0.0116705
5047	1	100	10	500	0.0638767	0.0528931	0.0331419	0.0197512	0.0109836	0.950324	0.0361869	1.01961	0.0104414
5048	1	100	9	500	0.0610955	0.0502652	0.0292823	0.0209829	0.0108303	0.950492	0.0390681	1.01634	0.0108552
5049	1	100	12	500	0.0555203	0.0446699	0.0241322	0.0205377	0.0108504	0.956921	0.0357362	1.01672	0.0124465
5050	1	100	11	500	0.0468151	0.0364063	0.0173637	0.0190426	0.0104088	0.962904	0.0391464	1.01361	0.0121791
5051	1	100	10	500	0.0523231	0.0414158	0.0214784	0.0199374	0.0109073	0.959317	0.0374768	1.01571	0.0120612
5052	1	100	9	500	0.0604468	0.0498119	0.0303467	0.0194653	0.0106349	0.951081	0.0395472	1.01786	0.0113718
5053	1	100	11	500	0.055691	0.0440862	0.0246805	0.0194058	0.0116047	0.957493	0.0369615	1.01791	0.0135979
5054	1	100	10	500	0.0674038	0.0561779	0.0367359	0.0194421	0.0112259	0.943368	0.042945	1.01673	0.0127844
5055	1	100	10	500	0.0674355	0.056257	0.0366601	0.0195969	0.0111786	0.946884	0.0363685	1.0204	0.00961402
5056	1	100	9	500	0.0579881	0.0468027	0.026785	0.0200177	0.0111854	0.95346	0.0408186	1.01621	0.0114084
5057	1	100	9	500	0.0610995	0.049896	0.0298977	0.0199983	0.0112035	0.951459	0.0389068	1.01784	0.0110509
5058	1	100	9	500	0.0717267	0.0612633	0.0426905	0.0185728	0.0104634	0.939286	0.0413916	1.01786	0.0105057
5059	1	100	6	500	0.0633069	0.0524804	0.033625	0.0188554	0.0108265	0.948649	0.0406513	1.01794	0.0117139
5060	1	100	8	500	0.0585728	0.0474992	0.028438	0.0190612	0.0110736	0.952636	0.0418373	1.01621	0.0121736
5061	1	100	10	500	0.0354405	0.0255596	0.00964337	0.0159162	0.00988087	0.973858	0.0345593	1.01096	0.013008
5062	1	100	6	500	0.0360687	0.0271355	0.0109129	0.0162226	0.00893316	0.972634	0.0335574	1.01294	0.0138022
5063	1	100	8	500	0.0359824	0.0266585	0.0105129	0.0161456	0.00932394	0.975108	0.0268641	1.01437	0.0137315
5064	1	100	13	500	0.0373385	0.0274546	0.0110188	0.0164358	0.0098839	0.973374	0.0317076	1.0132	0.0132691
5065	1	100	9	500	0.0335717	0.0249604	0.00936158	0.0155988	0.00861132	0.974456	0.0338969	1.01161	0.0131303
5066	1	100	10	500	0.0432863	0.0332442	0.0154592	0.017785	0.0100421	0.967413	0.0342916	1.01548	0.0133791
5067	1	100	11	500	0.040753	0.0310796	0.0138153	0.0172643	0.00967346	0.968749	0.0345322	1.01356	0.0128954
5068	1	100	9	500	0.0446127	0.0344086	0.016397	0.0180116	0.0102041	0.96731	0.0312589	1.01693	0.0131181
5069	1	100	11	500	0.0504932	0.0356839	0.0165063	0.0191776	0.0148094	0.965514	0.0337102	1.01527	0.014451
5070	1	100	9	500	0.0506632	0.039233	0.0203088	0.0189242	0.0114302	0.960603	0.0386217	1.01665	0.0135109
5071	1	100	9	500	0.0506646	0.0393127	0.0204489	0.0188638	0.0113519	0.961558	0.0359515	1.01731	0.0137828
5072	1	100	9	500	0.0660402	0.0534201	0.0342562	0.0191639	0.0126201	0.946819	0.0396119	1.01867	0.011228
5073	1	100	9	500	0.0751559	0.0615718	0.0431241	0.0184477	0.0135841	0.940027	0.0380076	1.02087	0.0128204
5074	1	100	8	500	0.0747818	0.062501	0.044624	0.017877	0.0122809	0.939657	0.0377921	1.02218	0.0104595
5075	1	100	11	500	0.0763519	0.0637736	0.0461757	0.0175979	0.0125783	0.9389	0.0350154	1.02379	0.0144428
5076	1	100	9	500	0.0674246	0.0557521	0.0372192	0.0185328	0.0116726	0.946089	0.0369238	1.0227	0.0124042
5077	1	100	10	500	0.0642422	0.0529195	0.0341825	0.018737	0.0113227	0.948495	0.0360295	1.02196	0.0108918
5078	1	100	8	500	0.0609693	0.0487855	0.0295313	0.0192542	0.0121838	0.952375	0.0371937	1.02067	0.012118
5079	1	100	10	500	0.0700836	0.0575663	0.038929	0.0186373	0.0125173	0.943771	0.0378841	1.02204	0.0116211
5080	1	100	10	500	0.0634637	0.0522427	0.0335058	0.0187369	0.0112209	0.949749	0.0344962	1.02343	0.0139673
5081	1	100	12	500	0.0644946	0.0526024	0.03276	0.0198424	0.0118922	0.94946	0.0349667	1.02298	0.0109412
5082	1	100	13	500	0.0718656	0.0590383	0.0398411	0.0191973	0.0128272	0.942535	0.0390525	1.02241	0.0162549
5083	1	100	10	500	0.0680224	0.056168	0.0376439	0.0185241	0.0118544	0.94438	0.0390303	1.02132	0.0122154
