Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	49	500	NA	0.260867	0.247307	0.150965	0.0963428	0.0135596	0.760528	0.0326191	1.24605	0.0504527
5002	1	100	35	500	NA	0.267186	0.253057	0.156799	0.0962583	0.0141287	0.757752	0.0368076	1.2544	0.0555331
5003	1	100	28	500	NA	0.26731	0.258881	0.154183	0.104698	0.00842894	0.752892	0.0428143	1.26467	0.0652694
5004	1	100	24	500	NA	0.277153	0.262927	0.158424	0.104503	0.0142265	0.74979	0.0409894	1.26502	0.0625293
5005	1	100	20	500	NA	0.25646	0.245914	0.153325	0.092589	0.0105463	0.762145	0.0303868	1.24662	0.0454073
5006	1	100	22	500	NA	0.254339	0.242854	0.137887	0.104967	0.011485	0.766751	0.0250461	1.24318	0.0362668
5007	1	100	23	500	NA	0.254047	0.242226	0.140615	0.101611	0.0118208	0.765737	0.0272402	1.24048	0.0337968
5008	1	100	14	500	NA	0.247165	0.239801	0.143212	0.0965894	0.00736377	0.767823	0.0232342	1.24171	0.0331085
5009	1	100	17	500	NA	0.246301	0.239791	0.147082	0.0927097	0.00651026	0.767544	0.0243584	1.24231	0.0351335
5010	1	100	15	500	NA	0.241594	0.235789	0.136511	0.0992781	0.00580521	0.772174	0.0185414	1.23928	0.0247069
5011	1	100	16	500	NA	0.242149	0.234965	0.135974	0.098991	0.00718379	0.772078	0.0232481	1.23575	0.0264534
5012	1	100	15	500	NA	0.236311	0.230795	0.138403	0.0923919	0.0055158	0.775251	0.0103383	1.23273	0.0131857
5013	1	100	10	500	NA	0.236208	0.231134	0.152003	0.079131	0.00507456	0.774693	0.0100006	1.23311	0.0122488
5014	1	100	13	500	NA	0.239777	0.233077	0.147117	0.0859598	0.00670016	0.771253	0.0199818	1.23088	0.0154892
5015	1	100	9	500	NA	0.235686	0.230887	0.144968	0.085919	0.00479858	0.775497	0.00904059	1.23348	0.0121159
5016	1	100	14	500	NA	0.240464	0.231709	0.142239	0.0894699	0.00875513	0.775077	0.010246	1.23222	0.0131038
5017	1	100	15	500	NA	0.240519	0.232504	0.145522	0.0869825	0.00801433	0.774561	0.0108972	1.2335	0.0148749
5018	1	100	12	500	NA	0.239369	0.232035	0.142972	0.0890627	0.00733455	0.774052	0.0152869	1.23215	0.0137447
5019	1	100	13	500	NA	0.236078	0.230459	0.141925	0.0885342	0.00561893	0.776206	0.00876658	1.23278	0.0121415
5020	1	100	12	500	NA	0.229988	0.227651	0.146598	0.0810529	0.00233694	0.776681	0.0087963	1.22976	0.0106433
5021	1	100	8	500	NA	0.228151	0.227077	0.145516	0.0815606	0.00107396	0.778331	0.00538468	1.23102	0.00823878
5022	1	100	8	500	NA	0.230538	0.227603	0.139971	0.0876323	0.00293515	0.777076	0.00619182	1.22984	0.00885071
5023	1	100	10	500	NA	0.238838	0.229213	0.1465	0.0827128	0.00962493	0.775305	0.00976165	1.227	0.0139913
5024	1	100	11	500	NA	0.236095	0.228779	0.136398	0.0923807	0.00731637	0.776043	0.00972428	1.2286	0.0141372
5025	1	100	10	500	NA	0.244715	0.23085	0.130317	0.100533	0.0138647	0.77661	0.0107079	1.2288	0.0158734
5026	1	100	8	500	NA	0.240916	0.23014	0.140325	0.0898148	0.0107765	0.775866	0.0103554	1.22757	0.0161058
5027	1	100	11	500	NA	0.242237	0.230558	0.135659	0.0948989	0.0116789	0.773784	0.029091	1.22426	0.0460348
5028	1	100	15	500	NA	0.254124	0.234507	0.128519	0.105988	0.0196175	0.773957	0.0109926	1.22554	0.0169992
5029	1	100	12	500	NA	0.247195	0.232119	0.123554	0.108565	0.015076	0.775625	0.0103424	1.22783	0.0161867
5030	1	100	13	500	NA	0.246686	0.232051	0.124411	0.10764	0.0146352	0.775697	0.0100716	1.22833	0.0154726
5031	1	100	12	500	NA	0.251366	0.233213	0.13006	0.103153	0.0181528	0.773763	0.0197953	1.22487	0.0312922
5032	1	100	15	500	NA	0.246609	0.231402	0.124002	0.1074	0.0152065	0.775043	0.0104855	1.22716	0.0149287
5033	1	100	14	500	NA	0.252093	0.232736	0.13532	0.0974165	0.0193564	0.774048	0.00995681	1.22528	0.0157029
