Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	41	500	0.335254	0.322351	0.255513	0.066838	0.0129027	0.708494	0.0307929	1.33357	0.0495246
5002	1	100	40	500	0.354688	0.324995	0.216055	0.10894	0.0296934	0.712343	0.0405546	1.33405	0.0642638
5003	1	100	32	500	0.27177	0.240936	0.121204	0.119731	0.0308346	0.778877	0.0435297	1.23285	0.0600347
5004	1	100	21	500	0.246105	0.223728	0.0992922	0.124435	0.0223772	0.795055	0.0561613	1.22228	0.0719382
5005	1	100	22	500	0.22112	0.19897	0.0812322	0.117738	0.0221499	0.816104	0.0450452	1.19355	0.0595689
5006	1	100	22	500	0.220597	0.191999	0.0780309	0.113968	0.0285985	0.823669	0.0497505	1.17926	0.0600796
5007	1	100	19	500	0.224026	0.196366	0.0815658	0.1148	0.0276604	0.819854	0.0493083	1.18378	0.0602942
5008	1	100	17	500	0.193859	0.174923	0.071223	0.1037	0.0189363	0.837904	0.0409129	1.16862	0.0532917
5009	1	100	17	500	0.200402	0.175525	0.078722	0.0968034	0.0248762	0.839505	0.0362283	1.16081	0.0489208
5010	1	100	19	500	0.193161	0.167866	0.0789404	0.0889256	0.0252949	0.845761	0.0371006	1.15226	0.0458424
5011	1	100	19	500	0.215065	0.1748	0.0814422	0.0933581	0.0402649	0.840806	0.0395918	1.15058	0.0560507
5012	1	100	16	500	0.19807	0.17061	0.0804132	0.0901963	0.0274604	0.844843	0.0295053	1.15066	0.0395509
5013	1	100	15	500	0.198765	0.170401	0.0802669	0.0901346	0.0283635	0.846328	0.0367321	1.14811	0.0455461
5014	1	100	18	500	0.208907	0.174644	0.0812111	0.0934328	0.0342631	0.841819	0.0373472	1.15038	0.0436618
5015	1	100	19	500	0.212787	0.170615	0.0796071	0.0910083	0.0421714	0.844158	0.0385611	1.142	0.0482505
5016	1	100	16	500	0.230565	0.17913	0.0815736	0.0975568	0.0514343	0.838533	0.0428464	1.1452	0.0449687
5017	1	100	17	500	0.238226	0.178128	0.0825707	0.0955575	0.0600977	0.839299	0.0428603	1.13999	0.0495933
5018	1	100	17	500	0.226534	0.175347	0.0811637	0.0941832	0.0511871	0.841561	0.0389469	1.14146	0.0405783
5019	1	100	18	500	0.194709	0.16608	0.0774455	0.0886347	0.0286285	0.846598	0.0373467	1.1499	0.046592
5020	1	100	17	500	0.195513	0.166772	0.0775532	0.0892184	0.0287416	0.845939	0.0321241	1.15001	0.0389519
5021	1	100	16	500	0.194023	0.166363	0.0760753	0.0902879	0.0276598	0.846048	0.0346607	1.15132	0.0433394
5022	1	100	15	500	0.195605	0.166844	0.0775945	0.0892491	0.0287609	0.845203	0.0396651	1.15262	0.0462598
5023	1	100	15	500	0.200027	0.166617	0.0757965	0.0908203	0.0334102	0.845658	0.0346927	1.14846	0.0413998
5024	1	100	15	500	0.19321	0.167005	0.0782216	0.0887835	0.0262048	0.845274	0.0372119	1.15376	0.0444552
5025	1	100	18	500	0.202792	0.168719	0.0779218	0.0907976	0.034073	0.844129	0.0359905	1.15023	0.045972
5026	1	100	17	500	0.189682	0.16211	0.0769325	0.085178	0.0275719	0.849629	0.0357486	1.14673	0.0439043
5027	1	100	17	500	0.188897	0.163353	0.0765636	0.0867897	0.0255436	0.848274	0.0360868	1.1501	0.043631
5028	1	100	17	500	0.185999	0.166038	0.0760169	0.0900207	0.0199618	0.844891	0.0337449	1.15532	0.0465341
5029	1	100	14	500	0.184248	0.164262	0.078021	0.086241	0.0199863	0.848035	0.0355233	1.15285	0.045265
5030	1	100	15	500	0.183461	0.163627	0.0769719	0.0866553	0.0198333	0.84778	0.032485	1.15223	0.0418088
