Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	52	500	NA	0.224175	0.20228	0.166662	0.0356178	0.0218956	0.808374	0.0335869	1.1867	0.0365962
5002	1	100	34	500	NA	0.222599	0.196362	0.157569	0.038793	0.0262367	0.814785	0.0348406	1.18317	0.0380727
5003	1	100	31	500	NA	0.220703	0.189658	0.137503	0.0521548	0.0310457	0.821734	0.038486	1.17527	0.0496264
5004	1	100	29	500	NA	0.210045	0.187196	0.123614	0.0635824	0.0228496	0.823922	0.0459377	1.17968	0.0547852
5005	1	100	27	500	NA	0.206194	0.180443	0.116744	0.0636983	0.0257517	0.83021	0.0468793	1.1712	0.0587278
5006	1	100	30	500	NA	0.189485	0.167817	0.101615	0.066202	0.021668	0.840558	0.0506909	1.15986	0.0601749
5007	1	100	27	500	NA	0.191659	0.167159	0.0929625	0.0741965	0.0244999	0.842981	0.0579372	1.15872	0.0704242
5008	1	100	29	500	NA	0.187265	0.161017	0.0844808	0.0765367	0.0262472	0.849258	0.0628982	1.15076	0.0724995
5009	1	100	27	500	NA	0.177436	0.150846	0.0711077	0.079738	0.0265906	0.857719	0.0606391	1.13932	0.0686979
5010	1	100	27	500	NA	0.170561	0.138364	0.0580345	0.0803298	0.0321968	0.870337	0.0639752	1.12324	0.0758773
5011	1	100	28	500	NA	0.150242	0.125643	0.0489559	0.0766866	0.0245993	0.880156	0.0556807	1.11207	0.0699737
5012	1	100	22	500	NA	0.190061	0.150428	0.0636423	0.0867858	0.0396333	0.860595	0.0542857	1.12478	0.0737181
5013	1	100	22	500	NA	0.176276	0.135723	0.0529894	0.0827339	0.0405527	0.877777	0.063459	1.10179	0.0818392
5014	1	100	22	500	NA	0.162104	0.12431	0.0455735	0.078737	0.037794	0.886003	0.0597839	1.08646	0.0780288
5015	1	100	24	500	NA	0.162769	0.123025	0.0462884	0.076737	0.0397439	0.89285	0.0582095	1.08633	0.0713632
5016	1	100	18	500	NA	0.147492	0.113274	0.040321	0.0729526	0.0342184	0.900034	0.0612316	1.08049	0.0763812
5017	1	100	18	500	NA	0.177373	0.139513	0.0562283	0.0832846	0.0378598	0.874746	0.0609334	1.10554	0.07254
5018	1	100	17	500	NA	0.173338	0.135556	0.05376	0.0817962	0.0377813	0.876574	0.0646353	1.09188	0.0969484
5019	1	100	16	500	NA	0.197277	0.155038	0.0680268	0.087011	0.0422387	0.864947	0.0567323	1.09386	0.0912527
5020	1	100	16	500	NA	0.203079	0.162064	0.0764829	0.0855814	0.0410147	0.860297	0.0578256	1.11961	0.074405
5021	1	100	16	500	NA	0.200875	0.162618	0.0721271	0.090491	0.0382573	0.852099	0.0608819	1.11865	0.0942806
5022	1	100	16	500	NA	0.214586	0.175461	0.0828761	0.0925847	0.0391256	0.846108	0.0627406	1.13546	0.0939226
5023	1	100	17	500	NA	0.207967	0.168799	0.0748527	0.0939466	0.0391675	0.851204	0.0587568	1.12911	0.0798746
5024	1	100	15	500	NA	0.225568	0.188823	0.0941897	0.0946337	0.0367442	0.830177	0.0628856	1.15543	0.0945552
5025	1	100	21	500	NA	0.207713	0.172235	0.0788915	0.0933439	0.0354776	0.845203	0.0600873	1.14634	0.0748829
5026	1	100	22	500	NA	0.225206	0.189702	0.0949244	0.0947775	0.0355046	0.829305	0.0593694	1.16437	0.0792721
5027	1	100	19	500	NA	0.21735	0.180756	0.0896829	0.0910728	0.0365944	0.835136	0.0619106	1.15271	0.0776319
5028	1	100	20	500	NA	0.221519	0.176029	0.0817148	0.0943142	0.0454903	0.846954	0.0559812	1.13526	0.0707881
5029	1	100	20	500	NA	0.198159	0.155472	0.067825	0.0876472	0.0426864	0.859775	0.0550091	1.1126	0.0824448
5030	1	100	19	500	NA	0.205183	0.15774	0.0702839	0.0874563	0.0474428	0.860731	0.0606344	1.10651	0.0897864
5031	1	100	19	500	NA	0.192554	0.144601	0.0605008	0.0841002	0.0479527	0.878236	0.0677779	1.08926	0.0836017
5032	1	100	19	500	NA	0.211972	0.162427	0.0734884	0.088939	0.0495443	0.853779	0.0645361	1.11555	0.0886161
5033	1	100	18	500	NA	0.235834	0.178547	0.0845247	0.094022	0.0572868	0.842255	0.0615895	1.12447	0.0920848
5034	1	100	19	500	NA	0.235865	0.175409	0.0797064	0.0957025	0.060456	0.851619	0.0566563	1.11294	0.0722613
5035	1	100	19	500	NA	0.210625	0.15313	0.0671403	0.0859896	0.0574948	0.866374	0.0573878	1.09002	0.0872955
5036	1	100	19	500	NA	0.223745	0.165654	0.0750505	0.0906038	0.0580906	0.858252	0.0582202	1.10355	0.0818539
5037	1	100	19	500	NA	0.221715	0.16114	0.0687133	0.0924262	0.0605758	0.860301	0.0640534	1.09661	0.0802111
5038	1	100	20	500	NA	0.230885	0.164019	0.0709485	0.0930701	0.0668667	0.857731	0.0619858	1.09537	0.0913253
5039	1	100	22	500	NA	0.234439	0.169861	0.0755562	0.0943047	0.0645782	0.854937	0.0696175	1.10726	0.0832686
5040	1	100	19	500	NA	0.257538	0.183056	0.0865179	0.0965386	0.074482	0.841277	0.0523735	1.1149	0.0764587
5041	1	100	28	500	NA	0.261331	0.185104	0.0894155	0.0956884	0.0762273	0.837407	0.0599108	1.10717	0.0950182
5042	1	100	21	500	NA	0.257183	0.183653	0.0887048	0.0949482	0.0735297	0.842331	0.0499389	1.10981	0.0708246
5043	1	100	24	500	NA	0.274743	0.200464	0.105776	0.0946883	0.0742789	0.825489	0.0630466	1.12563	0.0901397
5044	1	100	21	500	NA	0.260273	0.188099	0.091549	0.0965499	0.0721745	0.835793	0.061295	1.12213	0.0735502
5045	1	100	22	500	NA	0.227524	0.163197	0.0758609	0.0873362	0.0643269	0.859747	0.0566234	1.10079	0.0728864
5046	1	100	22	500	NA	0.241035	0.176446	0.0870988	0.089347	0.0645892	0.846728	0.0484947	1.11298	0.0721481
5047	1	100	21	500	NA	0.252996	0.180314	0.0903484	0.0899656	0.0726817	0.842715	0.0602961	1.11001	0.0778207
5048	1	100	22	500	NA	0.246465	0.179308	0.0899833	0.0893249	0.0671571	0.841714	0.0550218	1.10873	0.0737873
5049	1	100	21	500	NA	0.252184	0.189244	0.102431	0.0868133	0.0629401	0.834471	0.05889	1.1336	0.0744913
5050	1	100	20	500	NA	0.254585	0.194777	0.106223	0.0885535	0.0598084	0.826107	0.0614187	1.13851	0.081846
5051	1	100	23	500	NA	0.255416	0.204175	0.113099	0.0910758	0.0512406	0.81604	0.057793	1.16173	0.0806213
5052	1	100	24	500	NA	0.261565	0.204267	0.117119	0.0871482	0.0572978	0.816854	0.0602286	1.14773	0.0904642
5053	1	100	24	500	NA	0.262858	0.208036	0.118472	0.0895634	0.0548219	0.81365	0.0539014	1.15802	0.0708822
5054	1	100	24	500	NA	0.259442	0.207848	0.120143	0.0877048	0.0515937	0.812382	0.0593287	1.16117	0.0823138
5055	1	100	23	500	NA	0.250449	0.206636	0.116316	0.0903196	0.0438133	0.808341	0.0515345	1.17394	0.0742724
5056	1	100	20	500	NA	0.257479	0.209422	0.1252	0.0842218	0.0480569	0.812199	0.051557	1.17444	0.066495
5057	1	100	20	500	NA	0.247717	0.200595	0.107275	0.0933198	0.0471224	0.819552	0.0606058	1.16697	0.0785143
5058	1	100	19	500	NA	0.254687	0.199243	0.103329	0.0959143	0.0554442	0.823722	0.0505081	1.15428	0.0742001
5059	1	100	24	500	NA	0.265074	0.203202	0.102586	0.100616	0.0618716	0.821315	0.0523288	1.13729	0.0903689
5060	1	100	22	500	NA	0.262118	0.197005	0.100623	0.0963823	0.0651122	0.828505	0.0435539	1.14032	0.0737789
5061	1	100	28	500	NA	0.255781	0.195557	0.0973671	0.0981904	0.0602232	0.828146	0.0642464	1.14518	0.0846578
5062	1	100	24	500	NA	0.233908	0.186464	0.0884111	0.0980529	0.0474442	0.829891	0.0514888	1.14662	0.0877782
5063	1	100	22	500	NA	0.225747	0.174054	0.0811314	0.0929229	0.0516924	0.850973	0.0603014	1.12435	0.0835822
5064	1	100	20	500	NA	0.218818	0.169217	0.0807944	0.0884227	0.0496011	0.849438	0.0477411	1.11819	0.0786631
5065	1	100	20	500	NA	0.24503	0.191702	0.100208	0.091494	0.0533276	0.830264	0.0533832	1.14427	0.083041
5066	1	100	20	500	NA	0.245477	0.202558	0.108708	0.0938496	0.0429189	0.819777	0.0500629	1.16909	0.0695602
5067	1	100	19	500	NA	0.236525	0.197367	0.106745	0.0906225	0.0391582	0.822595	0.0505865	1.1668	0.0753186
5068	1	100	16	500	NA	0.241012	0.203669	0.112755	0.0909139	0.0373438	0.817637	0.0494137	1.17269	0.0681517
