Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	58	500	0.141686	0.121515	0.0540115	0.0675038	0.0201709	0.87936	0.0369123	1.08639	0.042088
5002	1	100	47	500	0.151156	0.116399	0.0448627	0.071536	0.0347578	0.8905	0.0354626	1.08287	0.0380473
5003	1	100	38	500	0.152471	0.11669	0.0476392	0.0690507	0.0357807	0.890101	0.043006	1.078	0.0504949
5004	1	100	29	500	0.149028	0.11327	0.0471099	0.06616	0.035758	0.892949	0.040575	1.07029	0.0509712
5005	1	100	27	500	0.120902	0.0914601	0.0398823	0.0515778	0.0294421	0.913494	0.0439872	1.05172	0.0375096
5006	1	100	28	500	0.111778	0.0862131	0.0382293	0.0479839	0.0255653	0.918778	0.0424746	1.04817	0.0397155
5007	1	100	32	500	0.137492	0.0896704	0.0428258	0.0468446	0.0478218	0.917311	0.0425545	1.0366	0.0438143
5008	1	100	27	500	0.162502	0.0924111	0.0451681	0.047243	0.0700907	0.917353	0.0497702	1.02213	0.0426569
5009	1	100	25	500	0.140711	0.082779	0.0413928	0.0413862	0.0579317	0.92511	0.0440446	1.02253	0.0392326
5010	1	100	25	500	0.144087	0.0929587	0.0491255	0.0438331	0.0511284	0.916076	0.0487174	1.03061	0.0345755
5011	1	100	24	500	0.191755	0.109499	0.0563688	0.05313	0.0822558	0.904326	0.0452436	1.02421	0.0476003
5012	1	100	27	500	0.150046	0.0962153	0.0485927	0.0476226	0.0538307	0.912931	0.0511	1.03294	0.0401695
5013	1	100	23	500	0.188385	0.105728	0.0505163	0.0552119	0.0826571	0.907848	0.0557693	1.02427	0.0437275
5014	1	100	21	500	0.172706	0.100711	0.0481558	0.0525556	0.0719945	0.909907	0.0533056	1.02629	0.0458498
5015	1	100	20	500	0.12364	0.0890559	0.0465701	0.0424858	0.0345846	0.917862	0.0452643	1.03687	0.0370747
5016	1	100	21	500	0.1143	0.0852949	0.0461786	0.0391163	0.0290053	0.920623	0.042006	1.03653	0.0348177
5017	1	100	21	500	0.10859	0.0865662	0.0497991	0.036767	0.0220243	0.920958	0.0409181	1.03801	0.0336143
5018	1	100	20	500	0.107938	0.0870341	0.0508798	0.0361543	0.0209041	0.919992	0.0383944	1.03822	0.0319052
5019	1	100	18	500	0.115588	0.0935247	0.0539158	0.0396089	0.0220633	0.914604	0.0370436	1.04257	0.0303305
5020	1	100	21	500	0.122885	0.101823	0.0609251	0.0408984	0.0210614	0.90736	0.0418336	1.04594	0.0363412
5021	1	100	22	500	0.124994	0.10306	0.0612424	0.0418171	0.0219342	0.906477	0.033057	1.04716	0.0299207
