Generation: 10001, Heterozygosity: 2.76764e-05

Generation: 10002, Heterozygosity: 2.87207e-05

Generation: 10003, Heterozygosity: 2.75802e-05

Generation: 10004, Heterozygosity: 2.51118e-05

Generation: 10005, Heterozygosity: 2.28802e-05

Generation: 10006, Heterozygosity: 2.06914e-05

Generation: 10007, Heterozygosity: 2.00424e-05

Generation: 10008, Heterozygosity: 1.92187e-05

Generation: 10009, Heterozygosity: 1.90918e-05

Generation: 10010, Heterozygosity: 1.96011e-05

Generation: 10011, Heterozygosity: 2.06714e-05

Generation: 10012, Heterozygosity: 2.38123e-05

Generation: 10013, Heterozygosity: 2.20374e-05

Generation: 10014, Heterozygosity: 2.12028e-05

Generation: 10015, Heterozygosity: 1.99794e-05

Generation: 10016, Heterozygosity: 2.1276e-05

Generation: 10017, Heterozygosity: 2.0045e-05

Generation: 10018, Heterozygosity: 1.89569e-05

Generation: 10019, Heterozygosity: 1.99793e-05

Generation: 10020, Heterozygosity: 1.87379e-05

Generation: 10021, Heterozygosity: 1.84991e-05

Generation: 10022, Heterozygosity: 1.69374e-05

Generation: 10023, Heterozygosity: 1.82118e-05

Generation: 10024, Heterozygosity: 1.77857e-05

Generation: 10025, Heterozygosity: 1.53436e-05

Generation: 10026, Heterozygosity: 1.40147e-05

Generation: 10027, Heterozygosity: 1.52422e-05

Generation: 10028, Heterozygosity: 1.56009e-05

Generation: 10029, Heterozygosity: 1.64577e-05

Generation: 10030, Heterozygosity: 1.62728e-05

Generation: 10031, Heterozygosity: 1.64799e-05

Generation: 10032, Heterozygosity: 1.6136e-05

Generation: 10033, Heterozygosity: 1.69363e-05

Generation: 10034, Heterozygosity: 1.79753e-05

Generation: 10035, Heterozygosity: 1.95371e-05

Generation: 10036, Heterozygosity: 1.91628e-05

Generation: 10037, Heterozygosity: 1.99693e-05

Generation: 10038, Heterozygosity: 1.94634e-05

Generation: 10039, Heterozygosity: 1.9977e-05

Generation: 10040, Heterozygosity: 1.97589e-05

Generation: 10041, Heterozygosity: 2.00718e-05

Generation: 10042, Heterozygosity: 2.15882e-05

Generation: 10043, Heterozygosity: 2.24543e-05

Generation: 10044, Heterozygosity: 2.33621e-05

Generation: 10045, Heterozygosity: 2.40211e-05

Generation: 10046, Heterozygosity: 2.36079e-05

Generation: 10047, Heterozygosity: 2.13661e-05

Generation: 10048, Heterozygosity: 2.15395e-05

Generation: 10049, Heterozygosity: 2.16324e-05

Generation: 10050, Heterozygosity: 2.26352e-05

Generation: 10051, Heterozygosity: 2.44795e-05

Generation: 10052, Heterozygosity: 2.48316e-05

Generation: 10053, Heterozygosity: 2.48955e-05

Generation: 10054, Heterozygosity: 2.41516e-05

Generation: 10055, Heterozygosity: 2.52106e-05

Generation: 10056, Heterozygosity: 2.52452e-05

Generation: 10057, Heterozygosity: 2.54517e-05

Generation: 10058, Heterozygosity: 2.58746e-05

Generation: 10059, Heterozygosity: 2.57998e-05

Generation: 10060, Heterozygosity: 2.48099e-05

Generation: 10061, Heterozygosity: 2.55149e-05

Generation: 10062, Heterozygosity: 2.55142e-05

Generation: 10063, Heterozygosity: 2.47136e-05

Generation: 10064, Heterozygosity: 2.37967e-05

Generation: 10065, Heterozygosity: 2.33609e-05

Generation: 10066, Heterozygosity: 2.40947e-05

Generation: 10067, Heterozygosity: 2.47978e-05

Generation: 10068, Heterozygosity: 2.48887e-05

Generation: 10069, Heterozygosity: 2.50296e-05

Generation: 10070, Heterozygosity: 2.47595e-05

Generation: 10071, Heterozygosity: 2.3822e-05

Generation: 10072, Heterozygosity: 2.22954e-05

Generation: 10073, Heterozygosity: 2.28774e-05

Generation: 10074, Heterozygosity: 2.25538e-05

Generation: 10075, Heterozygosity: 2.08388e-05

Generation: 10076, Heterozygosity: 2.21865e-05

Generation: 10077, Heterozygosity: 2.21671e-05

Generation: 10078, Heterozygosity: 2.22927e-05

Generation: 10079, Heterozygosity: 2.14194e-05

Generation: 10080, Heterozygosity: 2.2522e-05

Generation: 10081, Heterozygosity: 2.25372e-05

Generation: 10082, Heterozygosity: 2.16861e-05

Generation: 10083, Heterozygosity: 2.01751e-05

Generation: 10084, Heterozygosity: 2.03465e-05

Generation: 10085, Heterozygosity: 2.01574e-05

Generation: 10086, Heterozygosity: 1.9357e-05

Generation: 10087, Heterozygosity: 1.88504e-05

Generation: 10088, Heterozygosity: 2.00825e-05

Generation: 10089, Heterozygosity: 2.04869e-05

Generation: 10090, Heterozygosity: 1.81037e-05

Generation: 10091, Heterozygosity: 1.78078e-05

Generation: 10092, Heterozygosity: 1.67436e-05

Generation: 10093, Heterozygosity: 1.57952e-05

Generation: 10094, Heterozygosity: 1.28763e-05

Generation: 10095, Heterozygosity: 1.54225e-05

Generation: 10096, Heterozygosity: 1.17575e-05

Generation: 10097, Heterozygosity: 1.09624e-05

Generation: 10098, Heterozygosity: 9.94865e-06

Generation: 10099, Heterozygosity: 1.03901e-05

Generation: 10100, Heterozygosity: 1.07346e-05

Generation: 10101, Heterozygosity: 1.03819e-05

